,fbest,first,freq,nPop,sol,time
0,[8.15338348],100,"109.10514210936945, 504.9151376436125, 899.5349526893029, 911.4660608752217, 1716.3486305791098, 2266.5625306672196",20,1011100010011001111100000010000110001111,685.4628720283508
1,[8.75460345],100,"100.66750822186135, 485.46880743521035, 811.1652968309409, 848.0688786863727, 1753.057562232231, 2125.1661036603755",20,1000100100111001101100000001001001010101,582.2282598018646
2,[7.5876528],100,"101.4945809483181, 498.5082925891541, 791.927873492688, 931.8961588478696, 1753.9784574584185, 2104.9160331153826",20,0011100011011111100101000000110000100001,569.6657571792603
3,[7.76670028],100,"105.53672163290193, 496.217292844244, 788.0805748158172, 959.8765112954911, 1722.5116778353556, 2091.938408318768",40,1011010010010101110101110000000001101110,1113.774008512497
4,[7.64570374],100,"109.06771083736989, 480.9084605717081, 898.0752561764349, 933.5128686346686, 1706.1751366527694, 2188.6154254708254",40,1001101000011111111100000000001011000010,1163.519010066986
5,[7.58596475],100,"98.46471420912843, 509.46265457827695, 851.9998327267741, 863.2406247997776, 1674.9528517827432, 2064.6279527014",40,1101100000011111110000010000001001000001,1355.940707206726
6,[7.10203205],100,"115.90399040580407, 492.73900008292117, 896.5028559864883, 1140.224822884532, 1679.218153434938, 2338.445982158425",60,1000011111111111111100000111000100000001,2258.3072657585144
7,[6.60525071],100,"101.75878433435187, 499.6891157907694, 849.0627582228815, 917.9241163860164, 1706.5158239859343, 2050.0806230023427",60,1001000111001111011100010000000101001100,1765.616199016571
8,[6.27036286],100,"109.8197247412753, 502.9994722517987, 863.9854755920433, 1017.056249813712, 1696.21989295034, 2125.487302031372",60,1000011110011111101111110000000101001001,1697.1757776737213
9,[6.88263097],100,"115.46608307800163, 499.95353191830526, 888.9280168828917, 1003.8562251402429, 1700.7751770919747, 2137.0502944197215",80,1011100010001101101111110000000001101110,2391.19198346138
10,[5.41984418],100,"109.31010139355135, 494.21054222774956, 894.3982461747312, 1028.0272263859995, 1704.580647080124, 2105.00267523044",80,1001101000011111111111110000000001101110,2652.6197838783264
11,[5.92294623],100,"111.46813865212347, 493.6232574360796, 877.4949729615555, 1058.4997908639416, 1678.4154620774193, 2090.6127098112725",80,0001101011011101111111110000100000000110,2385.662854194641
