,fbest,freq,intercept,r_value,slope,sol
0,[-0.98231902],"[173.6169619917023, 644.1663363471519, 1231.9147774464132, 1553.6002521027374, 1832.8161903546197, 2598.2472200373595]",-262.01834297737105,0.9911200834242879,457.45103791162904,1111100111111011111011100100000000000101
1,[-0.99919293],"[146.51617693323374, 549.4451864415348, 1054.4838349301342, 1441.6607559588388, 1889.8803439054386, 2353.3102180065216]",-305.0291738494018,0.9995963855987827,441.2129313939101,1011100110011101101111010000000001011100
2,[-0.99303633],"[154.99449399921193, 527.6681270312368, 1095.3270512392046, 1536.4372585571916, 1848.5173490839584, 2493.449057403874]",-333.5275128308333,0.9965120840512985,459.8837340142704,1001101111111011111111010000000010001010
3,[-0.99848822],"[157.0344409452246, 525.6675993133417, 1014.4552802160299, 1349.9793970812736, 1807.094172388733, 2192.128106515338]",-261.13405031754155,0.9992438256562052,410.1506332554853,1101010111011011111111110000000000001001
4,[-0.98697395],"[76.29428818906301, 413.89539641120007, 687.5773530676205, 966.9741449500534, 1467.794156040489, 1889.6290186656988]",-333.7492794279941,0.9934656280847903,357.3647635186709,0000111111010111011111100000000000001110
5,[-0.9847672],"[118.60516388421817, 535.1500650096787, 825.109327801042, 1049.2631677158463, 1580.9831532161675, 2029.0170519443573]",-268.3499328882782,0.9923543697284194,368.96321556671325,1000011011111101101110010001000000001010
6,[-0.97415229],"[131.11245648124623, 556.6208355078314, 881.4475786406013, 1004.3674415501898, 1572.5874344381612, 2050.4944990503345]",-244.0012796432079,0.986991537143685,364.79228207274343,0110100110010101111001111000000000001100
7,[-0.97425589],"[158.540956540781, 701.2470462921744, 1256.491132288488, 1435.4623623553919, 1930.6098143043948, 2749.514844581333]",-310.21520470353903,0.9870440156292065,480.62654212303795,1001101110111011011110110100001010000011
8,[-0.97486913],"[114.49441122631242, 500.04147914447, 884.8107377204292, 1097.772301583348, 1836.2583895429964, 2341.564091573615]",-406.5391678809724,0.9873546139533131,438.77030562271455,0001111011011111101110000000110001000010
9,[-0.98848301],"[151.91960835056904, 620.7269266178567, 1068.891280585641, 1310.0543096309295, 1774.7724446874856, 2380.6371702590145]",-266.85511592439093,0.9942248267154987,424.19678265132575,1011100101111011111010011000000000011100
10,[-0.97280444],"[153.59912371084596, 556.612416598794, 1035.0200939710326, 1182.858660338743, 1809.30402537581, 2477.635599021648]",-350.1045904224643,0.9863084926394097,443.60273626436475,0111011101111101100110110000000000011110
11,[-0.9796141],"[150.4310935339784, 647.3872592044944, 1087.2413402807433, 1266.680486926349, 1832.4727206480497, 2478.8754085930314]",-293.8436590960457,0.989754564704301,439.3404887506153,1010011110111011101111110011000000100101
12,[-0.98416574],"[159.8956771505415, 608.8245551602777, 1084.9883250720181, 1350.2545353091677, 1781.7522051100054, 2494.036671162861]",-298.85008485398134,0.9920512809017297,441.56440371851227,1111100110111001001100110000010000001000
13,[-0.98511284],"[77.63451856159067, 424.53724130329044, 697.8133914694221, 904.5958708581837, 1394.3880563466496, 1790.0452978771805]",-286.3364860402926,0.9925285084537425,333.6682520313368,0000110101110101100110110000000000001100
14,[-0.9839334],"[140.56509251566777, 661.9711173876549, 1064.0788131511717, 1298.8772295834224, 1912.7762564879351, 2515.9708543331762]",-320.71770370555873,0.9919341730183155,453.264075509161,1000111110111111111111110001010010000010
