,cluster,f1,fbest,freq,grad,sol
0,None,200,[75.88782381],"31.69113033229737, 206.84320384648066, 285.6410035344817, 421.4524767834736, 772.4414274869642, 1017.1921002512339",600,"[11.81516140194949, 11.337581801271865, 9.227744299887632, 11.889291006274195, 11.786546882283172, 12.888356091798546, 9.134665010033517, 11.487460735532379, 10.76964248374619, 10.530218490040133, 9.097995650716145, 11.639317758312156, 11.899409442997161, 11.391773974253248, 11.087240006655499, 10.907608939797653, 13.155559122324934, 10.817015747462762, 9.506889670050807, 11.130570753031481, 11.122206660191273, 9.22444600082358, 11.044108489696288, 9.443979861917345, 13.519654168041864, 11.543452646156691, 11.384184025530212, 10.968962050981276, 10.937106377925788, 11.744790872765844, 12.602241524213941, 8.779390322277457, 11.664163314130098, 10.766262288191456, 11.326903290012346, 10.143711468047346, 10.202143272373334, 9.29723259949834, 11.796432502676888, 10.993403621384605, 11.866213430128873, 11.107636743265628, 11.491030003613897, 11.601650324074347, 9.962734766257647, 10.16081766411092, 9.17808383564019, 11.343801140868486, 11.209671399940618, 10.907069663480353, 10.60733312043117, 10.7195151751256, 9.960468306182962, 10.063188413753823, 11.553391294670812, 10.772633141563134, 11.406705914636971, 10.552183008478044, 10.44428462792224, 9.434873858377317, 10.604144316316583, 11.935201357335032, 11.244821376762866, 11.025614352251434, 11.280068891900337, 10.90826505729344, 11.510141239498589, 10.854068331323608, 10.244403782124284, 10.936265423327475, 11.045755146455292, 10.08576778190933, 10.18009117573436, 10.92190137412705, 11.624146303017302, 11.7848092977049, 8.682608626135712, 10.25875948761648, 11.722087876287377, 11.589463056888638]"
1,3,200,[72.11715475261386],"41.28485359302023, 244.47582500048216, 365.01428929178235, 452.63022251742484, 754.6631662126988, 1227.702393886458",600,"[9.094157223290237, 9.094157223290237, 7.386073730554271, 9.094157223290237, 10.806310578190244, 10.806310578190244, 9.094157223290237, 9.094157223290237, 9.094157223290237, 9.094157223290237, 7.386073730554271, 9.094157223290237, 10.806310578190244, 10.806310578190244, 9.094157223290237, 9.094157223290237, 10.806310578190244, 9.094157223290237, 7.386073730554271, 10.806310578190244, 9.094157223290237, 7.386073730554271, 9.094157223290237, 7.386073730554271, 10.806310578190244, 9.094157223290237, 9.094157223290237, 9.094157223290237, 9.094157223290237, 9.094157223290237, 10.806310578190244, 7.386073730554271, 10.806310578190244, 9.094157223290237, 9.094157223290237, 7.386073730554271, 10.806310578190244, 7.386073730554271, 9.094157223290237, 9.094157223290237, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
2,4,200,[72.12483528975238],"41.23365796828058, 282.25199205125125, 344.84340651636205, 428.6810842066718, 746.6994630789964, 1170.1671695410118",600,"[8.612330357257907, 9.402047731608397, 7.16458528173729, 9.402047731608397, 10.806310578190244, 10.806310578190244, 8.612330357257907, 9.402047731608397, 8.612330357257907, 8.612330357257907, 7.16458528173729, 9.402047731608397, 10.806310578190244, 10.806310578190244, 8.612330357257907, 9.402047731608397, 10.806310578190244, 9.402047731608397, 8.612330357257907, 10.806310578190244, 9.402047731608397, 7.16458528173729, 8.612330357257907, 7.16458528173729, 10.806310578190244, 9.402047731608397, 8.612330357257907, 9.402047731608397, 9.402047731608397, 9.402047731608397, 10.806310578190244, 7.16458528173729, 10.806310578190244, 8.612330357257907, 8.612330357257907, 7.16458528173729, 10.806310578190244, 8.612330357257907, 9.402047731608397, 8.612330357257907, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
3,5,200,[71.08144197719643],"43.1509175158031, 286.5768937237044, 365.54644132971754, 446.5170994648071, 772.9074324981207, 1214.4081168960392",600,"[8.724688613308444, 9.402047731608397, 6.512979469881142, 9.402047731608397, 10.806310578190244, 10.806310578190244, 8.724688613308444, 9.402047731608397, 8.724688613308444, 8.724688613308444, 7.677105150778647, 9.402047731608397, 10.806310578190244, 10.806310578190244, 8.724688613308444, 9.402047731608397, 10.806310578190244, 9.402047731608397, 7.677105150778647, 10.806310578190244, 9.402047731608397, 6.512979469881142, 8.724688613308444, 7.677105150778647, 10.806310578190244, 9.402047731608397, 8.724688613308444, 9.402047731608397, 9.402047731608397, 9.402047731608397, 10.806310578190244, 7.677105150778647, 10.806310578190244, 8.724688613308444, 8.724688613308444, 7.677105150778647, 10.806310578190244, 7.677105150778647, 9.402047731608397, 8.724688613308444, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
4,6,200,[70.40334697827075],"44.680362885124474, 295.6902248063738, 377.25640672075025, 459.98683452570464, 793.6487486855499, 1209.8329214038674",600,"[8.756475523588541, 9.43183892299193, 6.512979469881142, 9.43183892299193, 10.636997759759161, 11.483561851914576, 8.756475523588541, 9.43183892299193, 8.756475523588541, 8.756475523588541, 7.677105150778647, 9.43183892299193, 10.636997759759161, 10.636997759759161, 8.756475523588541, 9.43183892299193, 10.636997759759161, 9.43183892299193, 7.677105150778647, 10.636997759759161, 9.43183892299193, 6.512979469881142, 8.756475523588541, 7.677105150778647, 11.483561851914576, 9.43183892299193, 8.756475523588541, 9.43183892299193, 9.43183892299193, 9.43183892299193, 10.636997759759161, 7.677105150778647, 10.636997759759161, 8.756475523588541, 8.756475523588541, 7.677105150778647, 10.636997759759161, 7.677105150778647, 8.756475523588541, 8.756475523588541, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
5,7,200,[70.08014316889181],"40.8455123161594, 316.58738674605183, 354.4185117558927, 466.864606568572, 816.3156172722655, 1262.9557972431624",600,"[9.128424596038926, 9.128424596038926, 6.512979469881142, 9.128424596038926, 10.636997759759161, 11.483561851914576, 9.128424596038926, 9.128424596038926, 8.667669623358814, 8.667669623358814, 7.677105150778647, 9.714856112232875, 10.636997759759161, 10.636997759759161, 8.667669623358814, 9.128424596038926, 10.636997759759161, 9.128424596038926, 7.677105150778647, 10.636997759759161, 9.714856112232875, 6.512979469881142, 8.667669623358814, 7.677105150778647, 11.483561851914576, 9.714856112232875, 8.667669623358814, 9.128424596038926, 9.714856112232875, 9.714856112232875, 10.636997759759161, 7.677105150778647, 10.636997759759161, 8.667669623358814, 8.667669623358814, 7.677105150778647, 10.636997759759161, 7.677105150778647, 9.128424596038926, 8.667669623358814, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
6,8,200,[69.76980694288532],"40.65094543097937, 316.3583940620097, 353.92813836630734, 468.01096179054224, 821.1082547256835, 1319.9574479303155",600,"[9.128424596038926, 9.128424596038926, 6.512979469881142, 9.128424596038926, 10.636997759759161, 11.483561851914576, 9.128424596038926, 9.128424596038926, 8.667669623358814, 8.667669623358814, 7.490388187665365, 9.714856112232875, 10.636997759759161, 10.636997759759161, 8.667669623358814, 9.128424596038926, 10.636997759759161, 9.128424596038926, 8.050539077005213, 10.636997759759161, 9.714856112232875, 6.512979469881142, 8.667669623358814, 7.490388187665365, 11.483561851914576, 9.714856112232875, 8.667669623358814, 9.128424596038926, 9.714856112232875, 9.714856112232875, 10.636997759759161, 7.490388187665365, 10.636997759759161, 8.667669623358814, 8.667669623358814, 7.490388187665365, 10.636997759759161, 8.050539077005213, 9.128424596038926, 8.667669623358814, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
7,9,200,[70.41969548020771],"38.90187325624972, 312.145003224171, 341.39139670508837, 437.4274517927778, 816.6806039483098, 1323.0560087606125",600,"[8.884643991848678, 9.178613174019485, 6.512979469881142, 9.178613174019485, 10.636997759759161, 11.483561851914576, 8.884643991848678, 9.178613174019485, 8.56473323476821, 8.56473323476821, 7.490388187665365, 9.714856112232875, 10.636997759759161, 10.636997759759161, 8.56473323476821, 9.178613174019485, 10.636997759759161, 9.178613174019485, 8.050539077005213, 10.636997759759161, 9.714856112232875, 6.512979469881142, 8.884643991848678, 7.490388187665365, 11.483561851914576, 9.714856112232875, 8.884643991848678, 9.178613174019485, 9.714856112232875, 9.714856112232875, 10.636997759759161, 7.490388187665365, 10.636997759759161, 8.884643991848678, 8.56473323476821, 7.490388187665365, 10.636997759759161, 8.050539077005213, 9.178613174019485, 8.56473323476821, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
8,10,200,[70.41405224326536],"38.46370645730987, 311.81678530088885, 335.5446344049124, 432.22063951685027, 816.9135020979595, 1353.8713346093907",600,"[8.85432949103974, 9.178613174019485, 6.512979469881142, 9.178613174019485, 10.801825838795462, 11.483561851914576, 8.85432949103974, 9.178613174019485, 8.530227296711502, 8.530227296711502, 7.490388187665365, 9.714856112232875, 10.801825838795462, 10.472169680722859, 8.530227296711502, 9.178613174019485, 10.801825838795462, 9.178613174019485, 8.050539077005213, 10.801825838795462, 9.714856112232875, 6.512979469881142, 8.85432949103974, 7.490388187665365, 11.483561851914576, 9.714856112232875, 8.85432949103974, 9.178613174019485, 9.714856112232875, 9.714856112232875, 10.472169680722859, 7.490388187665365, 10.472169680722859, 8.85432949103974, 8.85432949103974, 7.490388187665365, 10.472169680722859, 8.050539077005213, 9.178613174019485, 8.530227296711502, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
9,15,200,[70.736151296694],"39.518441579739424, 306.6973154341038, 337.85153257833633, 428.9810622535352, 797.2576127960348, 1319.732711126191",600,"[8.85432949103974, 9.260806159730267, 6.736714296273735, 9.260806159730267, 10.801825838795462, 11.727538427687625, 8.85432949103974, 9.116968434736398, 8.530227296711502, 8.530227296711502, 7.422643403431111, 9.864164016312461, 10.801825838795462, 10.472169680722859, 8.530227296711502, 9.116968434736398, 10.801825838795462, 9.260806159730267, 8.050539077005213, 10.801825838795462, 9.615317509513147, 6.289244643488548, 8.85432949103974, 7.422643403431111, 11.239585276141527, 9.615317509513147, 8.85432949103974, 9.116968434736398, 9.615317509513147, 9.864164016312461, 10.472169680722859, 7.693622540368127, 10.472169680722859, 8.85432949103974, 8.85432949103974, 7.422643403431111, 10.472169680722859, 8.050539077005213, 9.116968434736398, 8.530227296711502, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
