,fbest,freq,intercept,r_value,slope,sol
0,[-0.98231902],"173.6169619917023, 644.1663363471519, 1231.9147774464132, 1553.6002521027374, 1832.8161903546197, 2598.2472200373595",-262.018343,0.991120083,457.4510379,1.1111E+39
1,[-0.99919293],"146.51617693323374, 549.4451864415348, 1054.4838349301342, 1441.6607559588388, 1889.8803439054386, 2353.3102180065216",-305.0291738,0.999596386,441.2129314,1.0111E+39
2,[-0.99303633],"154.99449399921193, 527.6681270312368, 1095.3270512392046, 1536.4372585571916, 1848.5173490839584, 2493.449057403874",-333.5275128,0.996512084,459.883734,1.0011E+39
3,[-0.99848822],"157.0344409452246, 525.6675993133417, 1014.4552802160299, 1349.9793970812736, 1807.094172388733, 2192.128106515338",-261.1340503,0.999243826,410.1506333,1.10101E+39
4,[-0.98697395],"76.29428818906301, 413.89539641120007, 687.5773530676205, 966.9741449500534, 1467.794156040489, 1889.6290186656988",-333.7492794,0.993465628,357.3647635,1.11111E+35
5,[-0.9847672],"118.60516388421817, 535.1500650096787, 825.109327801042, 1049.2631677158463, 1580.9831532161675, 2029.0170519443573",-268.3499329,0.99235437,368.9632156,1.00001E+39
6,[-0.97415229],"131.11245648124623, 556.6208355078314, 881.4475786406013, 1004.3674415501898, 1572.5874344381612, 2050.4944990503345",-244.0012796,0.986991537,364.7922821,1.101E+38
7,[-0.97425589],"158.540956540781, 701.2470462921744, 1256.491132288488, 1435.4623623553919, 1930.6098143043948, 2749.514844581333",-310.2152047,0.987044016,480.6265421,1.0011E+39
8,[-0.97486913],"114.49441122631242, 500.04147914447, 884.8107377204292, 1097.772301583348, 1836.2583895429964, 2341.564091573615",-406.5391679,0.987354614,438.7703056,1.11101E+36
9,[-0.98848301],"151.91960835056904, 620.7269266178567, 1068.891280585641, 1310.0543096309295, 1774.7724446874856, 2380.6371702590145",-266.8551159,0.994224827,424.1967827,1.0111E+39
10,[-0.97280444],"153.59912371084596, 556.612416598794, 1035.0200939710326, 1182.858660338743, 1809.30402537581, 2477.635599021648",-350.1045904,0.986308493,443.6027363,1.11011E+38
11,[-0.9796141],"150.4310935339784, 647.3872592044944, 1087.2413402807433, 1266.680486926349, 1832.4727206480497, 2478.8754085930314",-293.8436591,0.989754565,439.3404888,1.01001E+39
12,[-0.98416574],"159.8956771505415, 608.8245551602777, 1084.9883250720181, 1350.2545353091677, 1781.7522051100054, 2494.036671162861",-298.8500849,0.992051281,441.5644037,1.1111E+39
13,[-0.98511284],"77.63451856159067, 424.53724130329044, 697.8133914694221, 904.5958708581837, 1394.3880563466496, 1790.0452978771805",-286.336486,0.992528508,333.668252,1.10101E+35
14,[-0.9839334],"140.56509251566777, 661.9711173876549, 1064.0788131511717, 1298.8772295834224, 1912.7762564879351, 2515.9708543331762",-320.7177037,0.991934173,453.2640755,1.00011E+39
