,fbest,first,freq,sol,time
0,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1108.5680530071259
1,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1120.3328442573547
2,[154.28829979],100,"46.715313322787445, 323.44850419647446, 435.8183139182877, 470.40165178740295, 1006.6714336733899, 1453.1503479062867",0000000000001001000000000000000010111111,1196.463274717331
3,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1130.6780474185944
4,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1343.2016458511353
5,[154.5290519],100,"46.551202070830264, 333.3663176386689, 433.574317373437, 459.50135161079317, 971.7036881249345, 1494.4733055664105",0000000000000000100100000000000010011111,1144.9312546253204
6,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1007.285813331604
7,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1184.502198457718
8,[152.04599572],100,"48.731912933925706, 329.9887287041588, 453.7020893107461, 483.537391262471, 939.9791185067486, 1425.9805961113696",0000000000000000100100000000000000001111,1185.0285835266113
9,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1050.6119430065155
10,[154.70180171],100,"49.98602483975347, 317.7427097007565, 463.14676379528, 486.9115485396472, 942.6431678100786, 1490.3558998040355",0000000010000000000000000000000000001111,1279.5910787582397
