,fbest,first,freq,nPop,sol,time
0,[7.31487734],100,"104.62183074713303, 499.27029947935597, 830.5358544221992, 981.0126593321377, 1737.8670380701753, 2197.404178781311",20,1000010110111001111111110000100010000111,688.5848953723907
1,[5.58125402],100,"112.42650430938242, 503.538673793551, 880.8234740530826, 1099.0060817784558, 1712.5234580782494, 2142.521120873624",40,0001111010011111111111110000001000001100,1423.7062089443207
2,[7.47520143],100,"100.61498072397292, 497.35856054199314, 810.0411248770409, 866.8066815482518, 1702.6343444588163, 2104.9346855386084",60,0101001110001111101100000001100010000110,1885.8782289028168
3,[5.76082388],100,"99.79633002492123, 517.1129998917272, 791.3760894218974, 1072.9110326532486, 1680.963286430951, 2105.904383889332",80,0001110011111111111101101000000000100011,2404.6148538589478
4,[6.5736096],100,"104.8238967377628, 507.09747063272965, 803.1772770924916, 1012.176263998444, 1701.3529422124323, 2104.626598528323",100,1010000111101111100111010000010000000111,3411.484508752823
5,[8.28964613],100,"117.57145249573493, 504.6255885375414, 894.9800544829814, 948.4745328403139, 1752.5474309154447, 2111.5938680059676",20,0111000110011101100110110000000001101111,527.432736158371
6,[7.09915764],100,"110.04205717496252, 489.00728574764753, 897.097417368797, 945.683484780798, 1704.8072490535012, 2152.372755746228",40,1001000110101111011110000000100000100011,1204.7605993747711
7,[6.52861677],100,"110.70189074646721, 495.1211030574341, 852.3514707957601, 1030.19791097808, 1724.0866459354095, 2100.6065028324974",60,1010000111111001100111110000000001100101,1675.446792125702
8,[4.84763664],100,"99.8543617664872, 526.178373314711, 869.1891358576526, 1073.2917773537333, 1682.018532830663, 2137.4692542350863",80,0111111100001111111111110000000001000110,2388.65300989151
9,[7.46337297],100,"117.67628485831546, 498.77821006414814, 898.7522053191277, 1006.761762731718, 1701.7027818872184, 2185.3439995682493",100,1000100110101111111111110000100000101101,2567.95921254158
10,[5.45896712],100,"100.36814714611684, 502.41325993681784, 813.9839491631875, 1012.3740718628636, 1703.0731629584877, 2099.1638032703313",20,1000001111111001111101010000100000100010,699.4327545166016
11,[6.57510605],100,"101.19294817162366, 480.8746967871076, 826.567638286441, 967.6031544065115, 1692.4884169535396, 2105.515234791449",40,0001110010111111111100000010100100000000,1216.376362323761
12,[7.94691449],100,"105.67384857837249, 490.2136308427903, 857.2601453484654, 906.9029358734942, 1701.8211156251634, 2204.0787649543436",60,0001100110001011111100000001001000100001,1888.661758184433
13,[6.08079999],100,"107.4373907904009, 490.3917375470094, 842.1853411345189, 1041.2745448383364, 1702.0532937661164, 2085.7375219743026",80,1001001010011111101011110000000001000110,2251.2826058864594
14,[6.55302791],100,"104.53235597776896, 500.70157744113567, 876.977530936435, 924.7603434957307, 1725.248392407848, 2136.4907631313217",100,1001100001011001111100010000000100100111,2970.764731645584
15,[8.79117725],100,"109.78429065829839, 499.48128560926676, 884.6813300337802, 902.0278225058765, 1726.798127750369, 2288.3143632047695",20,0001100111101111100000011000010010001100,594.9425539970398
