,f1,fbest,freq,grad,nPop,sol,time
0,200,[6.19266982],"197.089477349351, 799.0307305894316, 1491.9062460467333, 1745.7295010908533, 2243.132952388861, 3117.578034399756",600,20,1111101111111111111111010100000101100000,576.6389265060425
1,200,[6.34435934],"190.41078159772346, 825.697930829076, 1422.7328526131655, 1641.9129281017285, 2327.1179491068874, 3198.857176881702",600,25,1111101110111111101101010010010001010000,734.4459104537964
2,200,[5.36251803],"195.05313251332106, 872.5503377363549, 1389.3161812012218, 1760.9679960839403, 2425.339091375653, 3161.586405232219",600,30,1111110111111111111110011000100100110000,889.2909755706787
3,200,[6.04063133],"192.608849209573, 805.549345177959, 1455.2057873218687, 1585.1887460828164, 2414.7728341836646, 3198.5091378761185",600,35,1111101111111111111100110100010001000001,1090.7776827812195
4,200,[4.97612364],"200.85139424498874, 840.5742366088532, 1405.124001998376, 1687.704411504746, 2423.702483071322, 3251.1299792234404",600,40,1111111111111011111101011000100010100000,1186.9903824329376
5,200,[5.76691315],"200.50528977406617, 804.9538760161751, 1437.5223003750139, 1690.9574199275937, 2203.3919832297997, 3210.980855270186",600,45,1111111111111111111011010001001000010010,1279.7326159477234
6,200,[7.37840656],"190.2195883932694, 866.2468890814657, 1455.528906391838, 1601.8808636980405, 2419.8864042595346, 3209.5878123873827",600,50,1111101110111111101101010100010001001000,1341.5834233760834
7,200,[5.3226872],"191.4580383804562, 849.828381554803, 1404.5347531660498, 1687.3336552071137, 2458.9603527798486, 3201.752470534809",600,55,1111101110111111101110010100010001010000,1717.8108484745026
8,200,[5.21773041],"197.90902774653213, 848.5454413535126, 1415.3030835750299, 1713.11870087542, 2382.074218485622, 3188.037984535865",600,60,1111111111111111111110011000100010000101,1577.2524609565735
9,200,[6.28338106],"200.6101181859824, 843.6635249514758, 1439.9582506308468, 1696.8753416858328, 2241.8401676655803, 3195.151526812588",600,20,1111111111111111110101110010100101001000,648.158855676651
10,200,[6.01099743],"190.93725061926298, 801.3896279144087, 1425.8763210082936, 1671.645970118018, 2302.1887674312948, 3252.499778151746",600,25,1101111111111111111111000011000110100000,812.9435498714447
11,200,[5.29518958],"189.13561215353496, 819.7871670468076, 1420.485730082238, 1656.7035783208075, 2480.792672597229, 3220.8820142719374",600,30,1111110111111111111110010010001010100001,863.8401799201965
12,200,[6.21189748],"187.00089501021858, 809.7690268485314, 1413.470362870396, 1630.5631697588115, 2341.9783721490085, 3206.169119400387",600,35,1111101111011111110100110100101000100000,1041.2359280586243
13,200,[5.82904918],"192.99851841187183, 863.5851926449702, 1408.105493873525, 1772.544548974127, 2350.5547153292255, 3263.3478205082038",600,40,1101111111111111110100111001101010000000,1096.840415239334
14,200,[4.87253603],"200.62287067622114, 807.1074977169823, 1440.6858062199024, 1756.5363699987868, 2275.561177139808, 3184.716260917293",600,45,1111111110111111111110101000001100100000,1267.0286853313446
15,200,[5.31855052],"199.2832167540932, 858.6368616589281, 1399.9828250082928, 1743.2647118315897, 2331.804593899405, 3165.7566499968443",600,50,1111111111111111101110111000100001010001,1378.5289196968079
