,f1,fbest,freq,grad,nPop,sol,time
0,200,[10.07731832],"175.97823304220964, 814.5160642482133, 1465.3873655236462, 1526.233419305846, 2175.1631018928356, 3262.0730415548037",600,25,1111100111110111111011100010010000100010,311.13630270957947
1,200,[8.2520922],"186.5406604906224, 821.1862987629333, 1388.6665070361266, 1535.0621733150122, 2221.4883216424723, 3248.6408976381667",600,25,0111011111111111111110100101001001000010,602.8370630741119
2,200,[6.1670417],"202.80936483101056, 873.1892033303951, 1422.1069943591588, 1774.1379222359076, 2280.16938409334, 3159.181922619024",600,25,1111111111111111110110010011000100101000,904.021315574646
3,200,[4.62570135],"197.32202888510085, 808.1776118304113, 1423.651419080066, 1775.0956855411323, 2337.936275998064, 3123.8705838080436",600,25,1111101111111111111110010010110010000000,1200.3155164718628
4,200,[4.81509919],"201.64089647775864, 889.4426360314644, 1400.371324516308, 1757.3567101767187, 2488.4159101618, 3185.9381134109217",600,25,1111111111111111111110111000100010011000,1308.7951049804688
5,200,[14.50101245],"160.82014390325483, 852.2256052016584, 1262.5636345230319, 1375.6410912864947, 2186.088593692731, 3325.870331707925",600,40,0101110101110111101101111010100100100010,306.382470369339
6,200,[7.62932277],"179.40094568949326, 885.9558294706414, 1406.3245439520772, 1677.4319437114004, 2408.327213760694, 3175.048173218427",600,40,1011101111111111111101111001101010001001,610.8201496601105
7,200,[6.58262444],"192.0285349271612, 812.2116647934774, 1435.4910369628337, 1656.9474291179295, 2243.118272254809, 3218.228259809918",600,40,1111101111111111100100111100010000100000,908.5666480064392
8,200,[5.32368296],"196.23849660980866, 886.3933055539372, 1390.676731355247, 1743.9671141199394, 2458.407114934872, 3211.158739342735",600,40,1111111111011111111110010001100100010001,1200.6363940238953
9,200,[4.89871625],"197.77286397323525, 800.5186712563547, 1397.6056100083727, 1657.159145060377, 2404.729017005093, 3308.492882647256",600,40,1111111111111111111110100001001010110000,1501.4131996631622
10,200,[9.40031735],"182.1329282220157, 876.849567112625, 1413.975724227713, 1574.2916404538857, 2199.3451074394497, 3194.6020879414077",600,25,1011111111111010101110101101001000101000,305.9709188938141
11,200,[6.87034274],"182.10768420171178, 852.7204901479232, 1412.2456732756043, 1650.6600528024921, 2413.0067681438245, 3204.867249933157",600,25,1111101110111111110111010001010101001100,604.4517419338226
12,200,[5.9797687],"200.29382431134874, 848.7781013639981, 1469.823516497531, 1704.0463415424251, 2348.7344313113504, 3194.0703980341436",600,25,1111111111111111111110110100010000111000,902.2352118492126
13,200,[5.01119087],"195.63470361256748, 825.8114295437887, 1438.6804896469098, 1680.9158186728168, 2471.6450089315053, 3232.1355750040107",600,25,1111101111111111111101011000100011000000,1211.7914984226227
14,200,[4.71267827],"200.15966251879792, 817.4311602779567, 1423.9315341921852, 1774.9686795995963, 2291.623385482997, 3161.7362241047626",600,25,1111111110111111111110010100100101000000,1356.5033550262451
15,200,[13.13213797],"169.16141590089458, 914.1012580271025, 1360.7607093301433, 1462.4207235158399, 2449.710485164211, 3636.7597527830662",600,40,1111010101111111010110111110001000110010,308.1824743747711
16,200,[8.3105635],"180.55263758017253, 810.0919376550856, 1397.4784639039165, 1512.1444232357717, 2363.883852445258, 3367.1657201811913",600,40,1111011101111111111110111000011000100011,606.284969329834
17,200,[5.0482216],"200.1340344114296, 859.6678783666862, 1392.9213887456742, 1763.6672992307547, 2365.464937640006, 3154.528059305632",600,40,1111111110111111110110010100010100010000,902.9279401302338
18,200,[5.78103455],"197.94370988733425, 842.6730466920166, 1422.673831221657, 1785.3595466283375, 2227.6774739351936, 3147.127929108566",600,40,1111101111111111110110010001011010000000,1208.2411017417908
19,200,[5.25281504],"193.38766440934864, 873.8226739110765, 1392.8369167911112, 1736.2542384557003, 2471.582493174345, 3188.965874381256",600,40,1111110111111111111110011000100110001000,1503.2054076194763
20,200,[11.35053724],"173.8873185679754, 826.4452018120132, 1446.2687369681316, 1455.4036877732815, 2372.59560816625, 3598.725899347014",600,25,1101111101111111100101010010011010100100,303.0428423881531
21,200,[7.13191551],"201.0281921775776, 827.1725056165334, 1423.9868568591053, 1736.9405175194024, 2075.125965277714, 3077.5344050947583",600,25,1111111111111111101101011001001010000010,604.4812536239624
22,200,[6.28921537],"197.78202131763902, 824.2741906263169, 1436.220414619385, 1712.7541854278725, 2301.6325136672585, 3365.340586124545",600,25,1111111111111111110100011010011010000000,909.9287805557251
23,200,[5.84772401],"195.50077801797627, 778.6243053808727, 1408.6888436317379, 1719.3441542981604, 2245.7168531652037, 3139.6776828214247",600,25,1111111111111011111111101000001100010001,1203.1827251911163
24,200,[4.74278241],"198.0110091769119, 822.7328479382059, 1367.620472608935, 1658.936644937242, 2464.714578307027, 3198.3578736240956",600,25,1111111111111111111101111000100010011000,1317.355084657669
25,200,[10.08214334],"170.23070163488833, 823.7686737793388, 1380.9165561025636, 1467.4004621803724, 2258.8157463335388, 3248.6904094673873",600,40,1011110101011111111011100001101101000000,322.8196749687195
26,200,[5.87223278],"197.06300007846525, 873.9648480596838, 1434.920260384226, 1761.148509825121, 2356.801521189057, 3176.6840242051444",600,40,1111111111011111111110110001100110000100,607.0278055667877
27,200,[6.43024626],"190.66622688835145, 803.6702164388282, 1418.06402311851, 1556.3031031032024, 2455.746331365143, 3341.838839496233",600,40,1111111011111111111100110100010001000100,905.5598139762878
28,200,[4.92930279],"195.03793788393094, 814.8232603243434, 1413.2880981930568, 1701.2286201546203, 2405.8289931003, 3260.3533970122626",600,40,1111111111011111111101111000010110010000,1200.9276823997498
29,200,[7.28557693],"187.6015558389549, 807.4857437164899, 1443.2534072875185, 1603.8222953891157, 2267.2843623278127, 3228.267260506962",600,40,1111011111111111111111110010010000100110,1501.931726694107
30,200,[9.63301643],"181.79047963753726, 910.4564207244445, 1431.6151239357941, 1632.3067833699092, 2437.704623338645, 3456.040702497859",600,25,1011111111111011101110101010001010110001,300.8061921596527
31,200,[6.34641848],"197.78445466652738, 900.3213804221413, 1426.075804877952, 1786.3332724789811, 2302.83838530494, 3214.572125880238",600,25,1111111110111111101110010111100010010000,603.9650151729584
32,200,[5.70119867],"200.87579594036035, 862.2630874043169, 1409.6340820913204, 1731.6262602150723, 2342.7758992828426, 3136.437191690645",600,25,1111111111111111110111010010101010000001,902.6739270687103
33,200,[5.04206508],"193.95921100056412, 808.7149568380938, 1427.4342354173432, 1707.8660285192507, 2351.8028189707866, 3199.0305883264787",600,25,1111110111111111110110010100001000110000,1204.771250486374
34,200,[5.72723177],"201.67770002099337, 897.2377385014056, 1380.8647358616518, 1781.1393681873617, 2439.742494355074, 3107.3204196928973",600,25,1111111110111111111110010001000110010000,1279.4828827381134
35,200,[11.59344294],"174.5170056230685, 903.3731868112752, 1436.5055729579426, 1590.7165143086813, 2213.5391700499763, 3390.7814020588175",600,40,1101110111111011010111111110001010010010,330.0440413951874
36,200,[7.19373865],"187.69847644060434, 851.1355776085776, 1434.3861651447094, 1651.2860327830033, 2324.200072391909, 3196.1542272171705",600,40,1111110111011111111110101000100001100001,602.5583984851837
37,200,[5.54476062],"194.4316543043792, 783.2397831079826, 1349.7343239373943, 1671.6270288769663, 2391.9521304304194, 3187.8890044584127",600,40,1111111111111111111110000101000100010001,916.0873508453369
38,200,[5.72928277],"192.82861121566228, 830.0611583926062, 1410.7467581936178, 1766.6148499138042, 2229.2489216544577, 3210.746159431632",600,40,1101111111111101110110010001101001000000,1207.931194782257
39,200,[4.48141494],"202.91368950276504, 803.6661190531154, 1370.761342858605, 1747.6567980103966, 2357.097065577516, 3170.3896364532256",600,40,1111111111111111111100011010100010000000,1504.518166065216
40,200,[8.97356712],"178.49139946097566, 894.7555864196759, 1409.0609210109626, 1605.8765305006286, 2325.7896200759997, 3189.032992925771",600,25,1011101110111011111111010100111010000001,307.9279749393463
41,200,[6.09463796],"202.19306053189624, 886.4764601798714, 1437.7548761480555, 1724.6059302384672, 2423.0607021096835, 3244.4768644501623",600,25,1111111111111111111111101000100010010001,601.0336904525757
42,200,[4.79063673],"193.65553347855794, 806.8634498907228, 1432.7761435869177, 1760.3443261408945, 2335.6756547524724, 3192.851260963323",600,25,1111101111111111111110110001110001010000,901.1193873882294
43,200,[5.18311507],"192.76160510208518, 799.3994898748186, 1414.170438574637, 1668.5162379460116, 2350.8499675590433, 3192.468052784572",600,25,1111111110111111111111100001001011010000,1202.4491679668427
44,200,[5.07402393],"196.72973780497054, 836.2564730813352, 1401.9933552370046, 1710.1952179136786, 2437.6090238596203, 3308.752798505787",600,25,1111111111111111111110010100110100010001,1319.634375333786
45,200,[15.21156971],"159.5911460728246, 818.6042867677346, 1170.098330906267, 1264.6466199362358, 2212.5450921836305, 3220.7400587719094",600,40,1111101011010111101000111001011000101000,302.51539301872253
46,200,[6.61426539],"198.9487080975022, 794.9837998140166, 1473.9719847790793, 1799.8137209474808, 2052.4743887644995, 3130.2010601380625",600,40,1111111111111101111111011101000011010000,603.067390203476
47,200,[5.54364573],"200.050356357097, 832.4136738188948, 1463.2735242311278, 1756.6510099713867, 2305.326799781885, 3162.7387062295647",600,40,1111111111111011111110010001001000100001,907.1906950473785
48,200,[5.53860123],"199.48750013849823, 904.1155127658981, 1426.9904443769083, 1789.292325185384, 2425.5296872962854, 3174.8080285969813",600,40,1111101111111111110110010001001100010000,1202.438639640808
49,200,[5.67776043],"194.6332211922641, 847.6811007180253, 1389.4491787628942, 1752.5235826178834, 2319.0049451674104, 3152.3813591921817",600,40,1111110111111111101110010110000110010000,1503.4637129306793
50,200,[11.43146818],"177.9096714895215, 873.7610724239685, 1352.4673919508837, 1491.1999439979245, 2338.149163602908, 3501.3483409654004",600,25,1110101111110111110110101100010001000100,300.4540967941284
51,200,[6.47327558],"199.0974904048368, 859.6836421103428, 1438.3227667557187, 1718.5152494608, 2266.949733657805, 3158.184326884718",600,25,1111111111111101111110110010100100100001,603.1062972545624
52,200,[5.4816781],"198.03441782569604, 852.8927633358587, 1443.7717657335695, 1789.3687691929665, 2353.2370237928685, 3268.693828359881",600,25,1111110111111111101110011000010101000000,901.8099205493927
53,200,[4.48141494],"202.91368950276504, 803.6661190531154, 1370.761342858605, 1747.6567980103966, 2357.097065577516, 3170.3896364532256",600,25,1111111111111111111110000101000100010000,1203.26482462883
54,200,[5.33292344],"200.13669229360102, 855.9420312862569, 1399.6113204629746, 1757.7926754045056, 2293.443162662964, 3167.7547542125426",600,25,1111111110111111110110010100010110000000,1313.3629167079926
55,200,[14.58426725],"162.7959807388821, 931.5783534180173, 1353.657280668404, 1391.5759571291833, 2470.4477110538705, 3639.747934331771",600,40,1111101110011111011011111010001110111100,306.823290348053
