,errorLimit,f1,fbest,freq,grad,nPop,sol,time
0,1,200,[5.32519556],"189.1399647190582, 819.6644903282685, 1421.162476788914, 1656.533855329179, 2478.7497183152373, 3222.870699634352",600,40,1111110111111111111110010100010001011000,3610.2473039627075
1,5,200,[4.89602281],"194.11494949643628, 846.6778208716486, 1383.7833589505933, 1763.3541735777876, 2417.5001951755216, 3218.8492125189496",600,40,1111110111111111111110010001101010010000,3104.272861480713
2,10,200,[9.90738199],"188.7214593430138, 806.2032877193432, 1317.7964895453138, 1655.0889767484541, 1988.0975264807369, 2995.9145721418377",600,40,1111111110111101111100011001000110000100,411.6952278614044
3,15,200,[11.63781266],"174.84508812270803, 808.5454888946492, 1276.3693593149735, 1398.514417663481, 2210.6598678973896, 3126.349623185115",600,40,0111101111111110111011010100100010100010,196.41268730163574
4,1,200,[4.23915346],"200.85675404453863, 818.0927893794608, 1393.233499555544, 1758.6095488373735, 2390.2725278589837, 3268.021114403623",600,80,1111111111111111111110010010110010010000,3616.91890501976
5,5,200,[4.719229],"200.41386750721526, 800.7656017519756, 1419.625871678355, 1776.704592098577, 2225.7180057089645, 3233.6211317060324",600,80,1111111111111111101110111000001111000000,1975.1452503204346
6,10,200,[9.31841091],"165.4950465300476, 803.2777181166297, 1330.1328069637568, 1546.6297083272818, 2368.815893127416, 3145.6784264475873",600,80,1011100111011101110110010010001100100100,404.3198616504669
7,15,200,[12.96734819],"171.09674553416525, 755.7255908622594, 1337.1158902829982, 1346.581654119089, 2162.3997375818117, 3322.3917443866576",600,80,1011011111111011111010000111100010100000,318.62859559059143
8,1,200,[4.72058988],"198.51840795169818, 822.8219743600879, 1422.0067994128037, 1728.3669915058679, 2352.794580881567, 3197.8070053729143",600,100,1111111111111111111110011000010011000001,3627.8769862651825
9,5,200,[4.96545501],"198.60859833877896, 855.4450126020761, 1402.6718005141176, 1759.7297915605332, 2346.3902947409033, 3193.3494421690607",600,100,1111111111011111110110010001001010100000,3490.8423812389374
10,10,200,[9.99419836],"182.8130605628431, 880.3013703848172, 1440.1964129843911, 1477.0041770232042, 2368.5159290012075, 3309.1152685638813",600,100,1111110111110111111101110010001001011001,688.1888520717621
11,15,200,[11.43935687],"171.22098556899138, 864.5471718051375, 1366.6687878927332, 1376.773236607546, 2557.2930874010494, 3551.792797190008",600,100,1111111011111111111110010011100111010111,557.8235924243927
12,1,200,[5.20757074],"200.57236101128015, 869.0600252406073, 1394.090830756731, 1755.5432314191603, 2400.638526642374, 3264.4502346771715",600,40,1111111111111011111111001001000100110000,3609.073383331299
13,5,200,[4.93971103],"197.64038724975399, 823.0148176658746, 1427.8201442456275, 1713.5038347508967, 2362.852256466461, 3195.2454690220425",600,40,1111101111111111111101011000100101000000,2749.553825855255
