,errorLimit,f1,fbest,freq,grad,nPop,sol,time
0,1,200,[14.98079082],"146.03390138905658, 793.2319725426565, 1240.2106432666553, 1382.7284914677673, 2113.8622583728034, 3234.591546199063",600,40,11111010101101110111111101001111011111101011111010100111011101110111111111101110110011101101111100111101101001001111111110110101110001111111111100000100111011101111111111111111111101100110101001011111111110101111011110111110001101100111101011010010011101101001110010011011111111101110001111100100110111101110110011011111011010100101111011001111111001110111110101111011011110000011010111110011110110001101111111010110001101101111100001111111111100111111001111110101101110110101101000010001110011000100010101101111100110000001101100010010100101111110101101101000100000111010010110100000011111110011100000001011001000111000001000100011001111011000010101110001001110011111101011101000010011001110010001000100010010111101001000111101000001110100100000010111001100001101010111000100111010010000110010011100,3698.828408241272
1,5,200,[16.57068283],"138.87739408016495, 801.4127013972413, 1205.617235592027, 1278.1677891291965, 2230.281552292021, 3343.685513829366",600,40,11100111101110101011101100111111010001101110101111010111011011111101011011101111100110011111001111010101111111001111011111001111101011001010011100111111010111011100100111110111111111011111101111110101101110011011110101101101101100111111010111111110111000111010110011100111101110011111100110110111011001110001110011010110101100010111011011001010111001111101110111110011111010111001101000011101101100111011011000111110111000100011000101110001001100110001011110100111111101011101111110011011001110010010110111011111011111000111110101010111110001101001101110110001011010010110111001100010100111101111010000100110011001100011110011001111011001011011110011110110100010011010101100100000100110100011011110000011001110011010000110010000000011111100100100110000010101100001011001011101011001110110000001101110,3706.924770593643
2,10,200,[15.68847113],"146.9711494070292, 806.8772629278633, 1239.7160750526311, 1359.6965501673724, 2162.6872965417583, 3407.135999388505",600,40,11110001101110001110101101111110111111111111110010111111001011111111111111101110111011001011111001111111011110111001101101011011111100011111101110111111101101100110111111111110110011100010111011100110101111001111101011101100110111111010001110011101101011101011101111001111110011111001111001111110000110001100101111010111101110110101110111110011100100011101111110111101010110101111111100111111111110111001100010111111011111011110110110010110110100111110010101101000001001000111010110111011000010010111101011010001110100011111111110010101111110111101011011101100101010110111100110011000110101101101001011011110010101001010000101110011011001110000110010101100101001010111001111110000111000100101000101011001000001001110000001100111110011000011100011101010011000101110000110101000010010000010001000010000,3703.5310192108154
3,15,200,[16.45456382],"135.66098851883137, 802.5721576821483, 1169.2613361074348, 1330.9039377178954, 2176.987146166564, 3200.9758739310278",600,40,11101100111000011111011111111111110111111010111100001011101110101111011110011011110100111100101101110110010111001011011011010011010110111110011110011110110110111110001000110001011111000001111011101010111000101101110001110100110010101101101111111001001111111011111101010101011001111111111110011101101101100101111111111110111101100101011010011010111000111101101111010110111101100110111111110111101110111100100011011101101111010011011011010100101110000111111001011001011100101100011001110101100011001110101110011010010000001000011110110110000101011011111001111100000110101111101101011101000111001011100010111001110110011100001100111001110100010110000010101011001101100101110011100110110110101000000101010111101100000001010101010111011000101100110011100001111000110001000001100011101000001110001010010000,3714.5866990089417
4,1,200,[16.95568347],"138.23998083403572, 802.4934081411418, 1157.097701988951, 1360.6894127573712, 2122.628180866229, 3291.720547420379",600,80,01101110111011001111101110110110110011101011010100110111111101110110111100101111011001100110110011111111011001011011111011111111101010001110111001010010101011101100101110110011011011011000111001011110011111101011111101101111100001001111100111010110000111001011111011111101110100100111110101100011011101111000110010101110100100000101101001111100000101111101100101010011100101110101010110111111101111011101101111111100111011101110010001111110101011111010011011110001100000111110100110111101001111111111110100000011111000001100011011011111001110100011111011110111100110100101110101101100010010111001010111100100011110001110101101100010001110011110100110110011000111101011100110111101000000000111101010011110101001000100000100000101000100000000011000001010011000010000000111001101010001100000000101001010,3794.5187673568726
5,5,200,[18.42288508],"133.01060506703118, 782.5956206495664, 1144.5922928257191, 1278.059877409878, 2147.673152414293, 3300.142891586111",600,80,11111000110110011101110111000110011101100101101101110111011111011001011011101011101111111011011011111101010000011010111110011011111101100011010110011111100001110111111101100011111101110011001111010010111111100010100101111001101000111011111011011111011111110010011100101111111111000100111011010111111001010111110010110111001101100110111100100110011010101111100010101010111011101101111110010111111000000110111101101101110111111011111001010110110101001101011011000111000110011001001111110100101110010101101110101001100101011100101011011001010111011001001100011101111111110100010111101011011110100010010100101000110101011101011010001100100111111110101011001111111100011010111011111100010010111100110001100010100101000011111001011000100111010000000001001100100010011011001010010101101110011010010001110111,3776.361041545868
6,10,200,[17.12177383],"138.86410609795198, 802.1694910914401, 1179.7076063034624, 1293.5007984181789, 2205.3603767049763, 3380.893808649942",600,80,01111110111111010011011111110111101101110111111111010010101101001110110110100111101101001011111110101011100111110110001110111111111101101101101001111010101011111010111011010101111100111011010111111111011101001100100110111110101011101111011111011100001111100010110111101011111110011111110110001100001111011101011101111011100110110010000110011011111101111011101100011011001011111101101100011111000011100000101110111111100111100111001110111001001111111010010110100110101000100110100101000011001011011111110101011010111101101110111000111110011011110100111110011100011010110001010111110100100001101010011001001110001110110011011110000110111111100011000111011011100001111001000000111010100111111101010110011101000110101011100011100100111001100001000010100001000010010110100110000100101000011010110010100100,3862.3658905029297
7,15,200,[19.15232437],"133.0540940349815, 801.6187529115682, 1129.8401451222726, 1187.048050048303, 2076.8073577784535, 3237.476007452186",600,80,00111111011101111101100101111111111110010011111101101111110111001111111000011111101011110101111111010110110001001101111011011110110011111101000101011011011110010001000100010011110111010011011101100101001001000111011010010110010011101111110100110000101011100101101001101111110011111111000111101011111101010111101011001010110111110111001110110101100011011001011000001111101100111111111010110010110110101111001100101111011001110110100110001110111011100100010011111100001110111011011101101111111111100110111101011110110111011101110110101111000111011100011001110011100101111011001111000100100101111010001000011101011101101111000001010100111100101000001101000110000000010110010100010001011000110100000100010011110110011110111010011010000100010011100100101111100101001010001010100110111010011100001100011110,3821.648380279541
8,1,200,[18.71603467],"133.1015082292171, 774.9430525652543, 1147.8017923606085, 1240.520541608553, 2121.204638556309, 3241.9682203654306",600,100,00111011111000011111011101101010001111111011010010011111100101101111111111011111011101101110100000111001111111101000101111010111010110110111110101001101101100010111010101100111110101010110011011010100011110111111111101100111011000011111110101010010011011101111100111010111100111000001111110011111110111111100110011110001111011011011100101000111100101110101110111001110110110101111111101110101100011110011000110011100010111000011100111011101001011001110110110101010011011001001101000110101111000101001100110011100100101111010111110101101110101100110011001101000011000111100111110100101001001010111110001010111010111111001011110010010011100101111100101000110101000100100010110101001110101011101010010000001110101101111000100011001100011111001111011110100010010101100011101100110101100010001100010111000,3904.4597532749176
9,5,200,[18.42368178],"135.98297436696166, 773.0996207358196, 1151.2603475042113, 1266.260472229836, 2083.501730663166, 3227.251775842639",600,100,00011101111011100011111101011011111010111010011010101101111111011101111010111101111011011111001111110011000111110110101111011011001111100010111111011001111101101111001010001011001101111110010111110110011101111101001111110111111010111101101111001110100001100110001111011100111110100001101001111011101011100101100010110001011111000110010011110111110011110100111101011110000001111111110011100001101100111110101110011111010010001101010101111001011010011001001011100110010100111011010010010111111101011011111100110011010010101100001011001101101011010010000101100111110100111001100100110011100101001011101001110001111101001010001000011011001110010000111011000111100101011101111010001001110011111100100100011100101100001011101100010010100100010010000000000010100101101100001101110001010100001001101110000111,3978.472579717636
