,crossover,errorLimit,f1,fbest,freq,grad,nPop,sol,time
0,NotModalSixPoint,0.1,100,[18.18730958],"56.35566190571545, 310.7515241923195, 516.1203648138696, 604.8656339509059, 1046.3283420026441, 1417.0450428318968",200,40,0000000011111111000000000000000000001111,3612.3959407806396
1,NotModalSixPoint,0.1,100,[6.1613203],"93.82110324627645, 401.24179576220894, 696.2755008387018, 825.9549677402993, 1309.7332075867132, 1788.692692695895",300,40,1000001010110100111100000000000000000010,3608.2461519241333
2,NotModalSixPoint,0.1,100,[7.12715014],"114.2515461473885, 511.89658296438114, 898.2846545781807, 978.0134060075525, 1706.5915230460625, 2116.495667728721",400,40,1001001010011111111100001000100000000000,3611.7459387779236
3,NotModalSixPoint,0.1,100,[9.76971089],"133.4103625003822, 603.19408480591, 1087.1074863671276, 1231.7209679196549, 2098.689522464386, 2611.0153020298217",500,40,1001100110101011111100011000100010001110,3609.551738500595
4,NotModalSixPoint,0.1,100,[12.47400009],"138.8324907282897, 699.0439494012869, 1279.8137751070176, 1401.8252285223782, 2374.7512205360904, 3195.8665279818993",600,40,1001100111011111111100011010110011101110,3610.9289717674255
5,NotModalSixPoint,0.1,100,[17.54953468],"101.01860251367845, 789.9748227775598, 958.9280135524394, 1024.7783977917338, 2531.6334107489847, 3629.9711773204044",700,40,1001010010011111111111111111101110011001,3615.7181584835052
6,NotModalSixPoint,0.1,100,[19.45325063],"135.35718554642435, 903.5693030915494, 1326.998087020854, 1438.8600659297097, 2753.284836867388, 4099.519623172703",800,40,1001100111111111101110101111111111111111,3614.0728709697723
7,NotModalSixPoint,0.1,150,[18.78449106],"61.074286332008136, 350.0603114296676, 551.8533273303796, 653.6280566434446, 1069.9350114332233, 1467.3379723379267",200,40,0000000011111111000001000000000000001001,3612.0018565654755
8,NotModalSixPoint,0.1,150,[9.3672991],"109.86748268170903, 450.88516727346354, 751.5405279115015, 840.7193217716452, 1386.4546983074722, 1755.8447664160662",300,40,0010100110011000111100010000000000001100,3608.139009475708
9,NotModalSixPoint,0.1,150,[1.3595556],"153.10772529193878, 553.4973263840002, 945.0468547778374, 1317.885579138433, 1717.9897009385388, 2134.514634840448",400,40,1011101110101001100111010000000000001001,3610.8911979198456
