,errorLimit,f1,fbest,freq,grad,sol,time
0,0.1,200,[6.72588855],"204.96419467311895, 698.7222842031991, 1475.5305330678289, 2139.717316172385, 2639.983787911608, 2838.5671165120757",600,"[15.208292249700605, 12.897337509198916, 8.28219236276879, 15.243125371564355, 13.85693898537904, 15.550255885643299, 13.446133384054015, 12.420332925324361, 13.110521284041877, 12.2020326714129, 12.49663294518972, 11.944314711618372, 11.06859069595655, 10.99347313625212, 15.254566024309845, 11.285572259173826, 11.981872325062522, 14.42490078627216, 11.949482658611732, 10.019896735671463, 12.813821419992168, 14.387896578904723, 10.367206117031426, 13.654991666436343, 12.510995576293768, 10.14699040368125, 14.12259492432032, 11.630379965984764, 12.230396071845222, 14.40430508485998, 9.807192608792892, 14.62813277937154, 8.627155738353725, 13.672321321721109, 11.877648727075044, 11.060475669870906, 11.44058824432514, 16.475482730982282, 12.522189622839218, 13.382496471406286, 14.465706260616974, 9.699312787806125, 10.443603659840006, 12.505098502759212, 9.98997718371165, 13.754752542179324, 10.302538524917495, 7.676010398721409, 12.93957201638761, 12.014916244367368, 9.681758115536004, 8.623856199052335, 7.582677367008701, 11.292003056461041, 11.888414285128968, 10.428995289534134, 11.288592574247646, 11.036856886795114, 9.908115729480222, 10.31210063230263, 10.813096318860271, 11.682013820633742, 12.159765572496685, 11.129512345714781, 10.596024457754652, 9.711359742057478, 12.064272474871698, 8.134496271531294, 11.307123921498404, 12.292876272104593, 8.113018318661002, 9.359873986463453, 11.032067831075185, 11.876939812998744, 8.362491836821045, 7.51475554668828, 9.55578455810642, 11.337793863750179, 11.702531672010387, 9.731874368664567]",3614.646414756775
1,0.1,200,[7.03625683],"186.48681211179667, 748.183984984434, 1392.9955816296792, 2187.02173060641, 2917.8748655776403, 3421.0894600064435",600,"[12.053141972032, 5.976844618507734, 13.045133278066107, 14.13185180085087, 13.817436073307789, 12.280537685489561, 13.734223873857776, 9.7863541442592, 12.00554146154577, 16.989913446744453, 15.18730477583052, 13.137250201279546, 14.17741895548131, 10.347606996167347, 11.603412915262583, 12.353310500123886, 11.571534712838153, 16.28609072646268, 15.037665498742685, 13.379916099080033, 10.562135582403675, 13.755024091443099, 15.955309743818844, 17.218521184252065, 11.07599240088679, 12.403151052433412, 10.976901752008324, 12.92277487537821, 9.855889361155791, 15.16654584996091, 12.557064764251065, 13.568894346608417, 12.370618148046942, 8.900098788126842, 12.75546988525373, 9.607393035003671, 10.818618192713247, 9.02354829501503, 8.518570067398514, 12.784712090479506, 12.206148579743104, 8.290509890214587, 10.962330006256206, 10.400925736741504, 12.250949787940462, 10.531157697943245, 10.532466275738535, 8.399737536010663, 7.070788919300583, 9.575116687728702, 11.383004535161088, 9.095133454292792, 4.686082880370325, 10.605350475074863, 11.744925037715918, 12.453233389629617, 8.978410855778883, 13.680250134158042, 11.020517758246433, 6.673001901157334, 5.253073981889709, 9.393375515453748, 8.669170287073353, 9.942810920377752, 7.767199954568991, 10.480824405835136, 9.111719903638365, 12.586304348789989, 9.514150202275083, 7.286946200238879, 8.735766768675784, 9.006256598411046, 10.201625164105941, 9.773531238140578, 10.321721629618269, 6.95889721330369, 10.644860074564775, 6.9258980007519835, 8.104129312816774, 9.29103134109444]",3611.1060960292816
2,0.1,200,[2.76786817],"199.84138818671292, 752.930227655895, 1463.6717893481414, 2036.9613129429208, 2527.02467777116, 3246.125717524597",600,"[13.182231240147294, 12.59640312635066, 12.28518065020466, 14.214852162869066, 15.45256816020381, 14.49843156512521, 13.819243450929799, 11.589804600631776, 10.22408927316542, 11.838379345631814, 12.98714870818282, 10.977000473911525, 11.914654679435618, 13.061012004001935, 14.363634435424634, 15.99500352650468, 11.122218793236993, 14.064550394527231, 16.18825451834969, 13.31544854256291, 10.612557530254337, 13.044328430369239, 12.62274538143815, 13.53115965078607, 12.135117327408048, 11.88839326013627, 14.800870177956053, 14.783935326898959, 12.714528169493075, 10.52194780072577, 7.764325575838366, 12.890466519996831, 11.091957779942819, 11.291130499870885, 13.510597586538733, 14.221548031859223, 11.887743233716053, 10.46496253366649, 11.51015730423139, 11.820747867983316, 11.625106687016007, 8.011680154118546, 11.220979298873269, 8.91358186152687, 11.891805908800123, 12.811666405149284, 8.355410311158169, 12.07361661323537, 7.687479258439525, 11.734467563144756, 7.85258198641693, 11.537470755253295, 9.314400468988705, 8.002278344025223, 11.138094762588354, 5.833138792305233, 11.505622151175253, 8.455973620311868, 7.999453289491705, 10.166646701668318, 8.355406475534215, 11.78629529946025, 10.126524863495359, 9.896344092665126, 11.760233453128922, 11.019829619512171, 11.297304302660471, 9.345498971777824, 10.846170854252371, 12.110857640640132, 9.356904899344732, 10.747775481452646, 12.264735491145641, 11.135892857931601, 11.79803732717645, 10.98184890593239, 11.314693609524552, 6.925260250379015, 10.081605908457382, 9.806219331616536]",3625.2694160938263
3,0.1,200,[7.00634153],"214.24968842862611, 698.4019216134762, 1398.9261399257932, 2085.212812401849, 2180.448277937269, 3255.6636503826485",600,"[17.209074361164554, 7.580185981661549, 8.276891051131596, 10.712902203309465, 16.985056544919193, 19.171147948278897, 12.446580891947402, 12.247840661986945, 12.693294986308992, 10.242947040983402, 14.398026242488474, 14.833576639759999, 14.176595835744012, 14.529133668941705, 11.502921480672356, 10.737690948507181, 13.342562877418084, 9.126109756139256, 19.468050302486784, 13.650954138022586, 12.762208057225068, 8.221383716352447, 15.18732522541405, 14.928219071978726, 14.942673422548344, 13.825159627626768, 16.54875596761042, 13.522242511487226, 12.35084353045941, 13.63302205594381, 11.718659735628504, 12.927334019513877, 13.696303706450374, 14.487187725327548, 11.361925292729865, 10.69877113248752, 10.780246156474933, 16.082409192731106, 7.5781698901475645, 10.975485872595051, 10.928167959996786, 10.147236358069216, 7.634471036116028, 7.197484688952054, 8.775256826632127, 11.144186864276723, 5.904471257624609, 2.4492754265457535, 10.095955110354156, 6.535648395528045, 11.198974691492293, 8.274285825845952, 7.1348721440195115, 9.682964337861785, 8.835554058713837, 8.29876728392778, 10.457640174927887, 10.33692100328577, 9.90700415831709, 13.145981211906873, 10.156750400333472, 6.615714464645194, 9.74653076199787, 10.67835023339586, 11.122548453207566, 9.315637046492458, 11.562236860114998, 12.353901552765059, 11.870635391618269, 13.148170512726386, 10.055206783657102, 9.734510098347144, 8.489280416527457, 11.251127787418357, 10.738627552802464, 10.421278495863719, 6.861658098778821, 12.985625786573644, 9.731014128693863, 9.196303362132204]",3601.000501871109
4,0.1,200,[4.94943555],"192.92559744736042, 850.7274620918374, 1231.7927375489708, 2049.10181346302, 2518.5036451860456, 3130.1925632887246",600,"[13.487814343040249, 15.58163418754577, 13.522057253964954, 13.830881990871127, 10.315329258950335, 11.368441545827341, 11.978052825960553, 13.504754555681963, 14.27878870819407, 9.751092181948753, 12.798958690712011, 11.774317507900205, 13.527428835340867, 13.606240357343793, 7.870421424298582, 12.840598734645967, 15.466540487692653, 17.149356628523925, 9.708540716754158, 13.026001169561706, 10.590261059309787, 12.437186532513817, 11.017371540258125, 13.180183221325692, 14.34495664732739, 11.627957981646722, 13.939126354743113, 9.812884628017255, 14.786476078360076, 8.646010115540571, 11.790831598872753, 12.64895033836473, 9.378329233771723, 12.31758983788606, 10.102157381891232, 8.601586996545686, 6.802305804625858, 9.859917182358267, 9.77464848620119, 11.489336365026103, 10.059580415253583, 11.000772576042532, 12.532934356359917, 12.0945583998072, 10.037286122737601, 10.098476691901238, 7.3444973664112405, 7.785140727551997, 11.542675735629071, 8.559293138106838, 8.880365121562852, 7.7185283611518845, 9.16213759890901, 11.265748372601152, 7.803113120736897, 9.07763557931181, 11.085521513069274, 13.036162038413377, 10.068317984506812, 8.080554462824676, 10.272486031074543, 11.098817475652593, 11.219024634447727, 5.0445239815850345, 11.631889970027325, 10.656862515460197, 10.224858092630047, 9.450857871183462, 8.215153833496904, 10.927794210864972, 10.11116717261168, 6.456337558198355, 11.187630057627677, 5.930292750773163, 9.215313393835778, 5.182143963947714, 5.987385488500472, 8.71103215587864, 6.076305354686953, 9.640202799950004]",3628.1193952560425
5,0.1,200,[5.91057194],"228.9781143754823, 768.727601451999, 1313.7374377612211, 1873.480161428033, 2657.915663682497, 3275.1384326802904",600,"[10.581464888468785, 13.348453529874572, 11.380077836448429, 10.73628597131734, 7.357130851119572, 12.482776644288553, 12.134056979125077, 15.399399413699548, 14.431129501482122, 10.308975804705307, 15.237332767245942, 12.422465894440162, 15.659103987877549, 16.191838091712064, 15.708415931698944, 13.26343942560077, 8.84697593185101, 13.910180054844611, 10.2956487979601, 11.022659212125815, 14.457199464214526, 14.519465111403056, 10.39092056149882, 10.13413539520227, 10.875210565663098, 11.933491227514931, 12.727403759843089, 10.341783809758418, 13.873825195928335, 11.064643628359583, 11.946910316652014, 10.481154879006434, 14.54989029747745, 12.188046005836455, 13.192510672188787, 14.872306037099571, 11.487734018224598, 13.487628009729097, 9.935845700860677, 11.753319536148998, 12.05150949027541, 12.328493836480483, 12.569411739329096, 9.419951827345887, 7.358180950656324, 9.79630880884012, 9.326770914822056, 9.68694654345747, 11.441021620895485, 11.323857556760535, 11.171772153979502, 6.484284610416027, 9.174214577181374, 11.414063087476796, 8.02947988021639, 9.652622604646961, 6.401231351915067, 11.097203454647913, 10.77846715609768, 4.676514597339762, 8.151906592222986, 11.481221080741081, 9.306363998118275, 10.702431077637186, 9.95308379136335, 11.61444819526373, 9.853431414933018, 11.936468576949487, 6.819317907411596, 11.915556853879483, 10.848794696619589, 5.417488021410466, 9.346443104906635, 10.429975693517607, 8.154814199785845, 7.616377116749231, 9.689049571939004, 3.4418714487155606, 10.801083541331707, 10.544682043035145]",3602.523087978363
6,0.1,200,[5.08923641],"198.36152960775595, 707.7250069475855, 1392.2236368209376, 1801.8813881908345, 2583.5230272090853, 2940.703174505721",600,"[14.69292853026826, 11.706873378961875, 17.423684976697597, 10.63871892224397, 16.876800044187394, 10.180269942635906, 17.830116154812124, 13.233474931555794, 5.990223614998075, 13.048074836403863, 11.830484725296927, 8.165400213965468, 11.782520989485025, 9.166735258365623, 12.978350486236913, 11.313195263614322, 12.687664827334439, 16.93554459622286, 11.27613935550437, 12.588565140649141, 9.53559465910494, 14.026819800935634, 8.878790656525835, 11.814023675144933, 10.917118946049484, 16.438692051054574, 12.885204082312098, 11.779131473401947, 13.21221685943181, 11.44317453696475, 12.568105440626749, 14.528763775437985, 13.075114715176541, 14.86148368384279, 12.428504077630167, 11.24337682180318, 14.806527750163111, 14.305608888439753, 12.803966236277859, 13.778725535821168, 8.011674529291962, 13.112914673569405, 13.383873087816923, 10.816504181946497, 10.965697242015798, 7.956432183188407, 11.303465023980865, 0.17751470180786422, 8.225800373381933, 12.702169885943933, 8.053444927762314, 8.517539311382501, 5.795364421923848, 10.761694000607196, 9.48503627628626, 8.094536688841538, 6.469305204265463, 8.770783049916515, 10.043089701303941, 10.030246932273192, 11.789433008958905, 8.057895753851001, 6.126235341822103, 8.701247991621948, 9.940825626928392, 7.174596442374952, 5.517908396454574, 10.790449475402745, 7.589551238322564, 7.285720002552137, 11.62215447653109, 8.465549845150749, 10.815466969136985, 6.976233808029219, 9.01978504274919, 10.31660140171418, 2.7227083254359163, 11.763821834364713, 6.980227408083448, 11.556021612770671]",3627.4314653873444
7,0.1,200,[6.22011156],"185.92989708141263, 815.5505237060223, 1509.6080845999002, 2108.4948735109056, 2663.882930466703, 2795.8042671550165",600,"[10.925764877657048, 16.008961475037122, 12.799874341608474, 8.936490405479875, 13.049499931207068, 11.752597262956266, 15.55736753795293, 13.215446298927713, 12.022504766563335, 12.698520468215218, 10.335095142803656, 12.763110123646484, 11.466316138450491, 13.465513930009017, 10.6912605593496, 12.781590744791501, 10.98039949581758, 11.619259418814208, 10.306102876180688, 13.103377787769313, 11.485679605742561, 10.490831357230608, 12.252676795602525, 14.34850251130374, 10.641214506050513, 11.30635065973286, 14.39376484520381, 14.733285063532312, 11.667908627890212, 8.657285230795415, 13.508923149001843, 11.477793057287048, 15.456481488256646, 16.061253246685975, 13.572756190314605, 10.29003887620003, 11.161256606795362, 11.828747161892089, 11.251452411387202, 9.859447824636488, 12.806794852238918, 10.606359896268664, 12.335248028036837, 8.738511921159253, 9.117080090815431, 11.314850460930634, 6.563889140882332, 9.068114379229065, 11.824673962335472, 12.945048338537166, 10.767785915746783, 10.878545981342164, 9.59420178876876, 9.345265150636395, 10.292645020503006, 10.336752066271272, 10.743969172444709, 7.520336037963494, 9.977443937653572, 7.605556526984161, 8.254463371158732, 9.874969527848314, 10.24688586827674, 11.149603325103863, 8.691755246284258, 9.578858768401076, 11.924365743882932, 10.025079006745937, 5.857641355624805, 9.956392893407376, 12.194905450548703, 7.15863302527203, 8.981526858909964, 7.040827301608013, 7.707299867253423, 12.232797259204574, 9.720469171608915, 11.283471419915376, 6.845345137722523, 10.041386350945375]",3607.8507883548737
8,0.1,200,[5.28258057],"205.48961832020353, 784.2441174365813, 1323.6346444575695, 1678.1513349467878, 2497.863185454979, 3248.1839497058345",600,"[13.33973054874736, 11.787861259936289, 10.362654001729984, 11.78268503540267, 10.793042176892603, 15.013851035870188, 13.95643773110567, 11.026004216088218, 11.740097509473841, 9.960934037364947, 13.75395982076229, 12.54042174349138, 12.213141447924183, 11.69159031428751, 10.065578096017898, 12.990725353187516, 14.534547479447077, 14.22613421030398, 9.72316218832939, 13.57684305734301, 14.196931306106713, 9.48475970617089, 13.681181925969092, 11.275004638686825, 12.915077495239846, 9.43513810913987, 10.199409297622655, 12.915251999967058, 14.198641477613863, 12.524393868662463, 9.426674519818949, 12.652569500846118, 10.350943711517742, 13.490780279594105, 11.040992250177398, 10.873946178790392, 9.275151051862471, 11.820602094867462, 11.112403919969454, 11.349792288159124, 9.95483085639451, 9.728000785963522, 11.011322778468275, 9.706452380962697, 12.71545502986173, 10.98905594682127, 9.275115978465696, 9.611957293792933, 9.732342375764503, 10.202736800173907, 10.876236260493254, 11.253031154384454, 9.549308197952355, 8.672738018919334, 9.239824370145872, 8.752993366416586, 10.03996640029813, 9.550706160847826, 10.083608915817742, 9.871467665151654, 10.964738620285365, 9.521795448058272, 9.046462325629916, 12.047822152000242, 10.011267194947632, 8.4349243947943, 11.368387029515794, 11.061746593901436, 10.246020835513226, 10.661496302403684, 9.596988062689832, 12.158799931859749, 10.733103518086612, 11.035442117539693, 8.775790843868254, 7.723764139797115, 10.072301355525365, 8.467691912406524, 11.365006000790716, 9.740390349208088]",3600.7362129688263
9,0.1,200,[4.60885125],"198.62288216713202, 898.0115104044343, 1371.302855324747, 2008.9691646166036, 2289.2628153115847, 3191.571737279912",600,"[13.473932815997495, 10.243263631808599, 14.81093515266763, 12.46144924067179, 15.517644626630211, 10.575807867877092, 13.424553810157509, 14.209699985500198, 17.177970621363198, 10.706106869954427, 9.489145727414495, 16.80061471187886, 13.939248465906203, 13.665472584708283, 15.135419667649359, 13.874857218391606, 8.508717237928064, 15.406827395487564, 11.60448684746817, 12.329953698932357, 15.807547220046168, 11.603901260049383, 15.612444659363799, 11.60428264353544, 13.489877369042315, 11.928235306952919, 7.88572564487772, 16.719631258711274, 11.859963929446769, 13.469951332971508, 13.604390414646186, 16.69959075427922, 12.667974332349939, 14.197669131626546, 13.626760786067676, 14.522653982757884, 14.514142482584898, 12.346255842950992, 9.139175481458048, 7.995454754357366, 10.132382864520498, 10.57260460190574, 13.979576767878102, 8.289377747606352, 9.168627273193069, 6.339369366765071, 6.4461528970346285, 10.995204021322742, 11.705049474520267, 10.690421771573288, 9.333999875317994, 12.320331743580024, 13.42645085673226, 11.254224933174488, 10.336661392198623, 8.565207917647882, 8.977821497598379, 12.168759288146767, 13.914570117854929, 9.296554728248427, 10.82585131234477, 11.43081367758089, 10.926776658551011, 12.438003929821873, 9.469912183352074, 12.898555433220134, 10.366495262895373, 13.68023947859609, 7.747056259948037, 6.455454854804637, 8.985901669958473, 5.688348807431115, 11.032141460571584, 9.6019858607086, 11.902706157500257, 10.533476241641345, 11.271361444357785, 7.310256074988754, 7.968095008471285, 7.095212031503863]",3639.9146497249603
