,cluster,f1,fbest,freq,grad,sol
0,None,200,[10.6188759],"186.5056913712922, 807.1343306271737, 988.7592265189988, 2014.143376614399, 2492.9425928741284, 2499.9933633156934",600,"[10.699397254017988, 11.700360153791134, 9.890442060198373, 13.139306916080502, 10.081632609052441, 9.119769814047809, 12.646850694789581, 7.708893572370035, 9.4252644721395, 12.621905989706987, 13.507515666144627, 13.087170125961471, 10.26511367221644, 11.289113960290319, 13.698719305994587, 9.587959679856572, 12.753914953086666, 9.801265435431002, 11.529373669235651, 11.818670358862635, 11.78461557083159, 11.574626756576418, 11.947514889754967, 11.54407956539588, 10.478613123338395, 9.425871367449519, 13.439129189976642, 6.279706638676823, 10.845262617853317, 11.764914983502267, 12.38379783241371, 10.121549809181037, 9.505812761341735, 10.326546062778302, 11.463012513401527, 9.722846705532534, 7.279606444372167, 9.759220727839551, 11.204217526752215, 11.934139962432035, 9.740935336437763, 12.24115780989074, 10.052420708496761, 11.826833962203468, 11.621731173924648, 9.838824372543904, 12.083267079402749, 11.392255979985967, 9.748649905686953, 10.565772006583424, 9.647366443007867, 9.845748910995463, 11.669529639967973, 10.165085851498484, 8.722667819322576, 13.963445360161343, 9.77623349310368, 9.626907687193357, 11.875069262176886, 12.900627638009826, 10.27112234556947, 10.644166082442421, 10.040119535496382, 11.015741938127787, 12.45374510363155, 9.169424590566821, 13.886522136279964, 10.93299040863785, 10.667156281742777, 10.563697603868853, 8.055685275236142, 11.783413849907204, 10.731933708973916, 12.565236349550537, 11.613167115291287, 13.658757332973222, 12.520521490504152, 11.527483827736539, 9.402508259148146, 12.084547052830281]"
1,3,200,[361.1124518912765],"1340.0472888395811, 4272.199549613831, 4979.473661649299, 8294.095347532799, 10988.986711376745, 11826.922581719708",600,"[11.29919920044287, 8.33168682899143, 8.33168682899143, 11.29919920044287, 8.33168682899143, 8.33168682899143, 8.33168682899143, 4.6222084937091195, 8.33168682899143, 11.29919920044287, 11.29919920044287, 11.29919920044287, 8.33168682899143, 11.29919920044287, 11.29919920044287, 4.6222084937091195, 11.29919920044287, 8.33168682899143, 8.33168682899143, 8.33168682899143, 11.29919920044287, 11.29919920044287, 11.29919920044287, 8.33168682899143, 8.33168682899143, 8.33168682899143, 8.33168682899143, 4.6222084937091195, 8.33168682899143, 11.29919920044287, 11.29919920044287, 8.33168682899143, 8.33168682899143, 8.33168682899143, 8.33168682899143, 4.6222084937091195, 4.6222084937091195, 8.33168682899143, 11.29919920044287, 8.33168682899143, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
2,4,200,[67.9672141190567],"488.7324125476743, 1630.9856586345074, 1950.9247720653145, 2062.22864164101, 4454.717004828793, 4664.4928057411325",600,"[10.036157497725046, 8.01653695655839, 8.01653695655839, 10.036157497725046, 8.01653695655839, 8.01653695655839, 10.036157497725046, 4.6222084937091195, 8.01653695655839, 10.036157497725046, 12.876683188387066, 12.876683188387066, 8.01653695655839, 10.036157497725046, 12.876683188387066, 4.6222084937091195, 12.876683188387066, 10.036157497725046, 8.01653695655839, 8.01653695655839, 10.036157497725046, 10.036157497725046, 10.036157497725046, 10.036157497725046, 8.01653695655839, 10.036157497725046, 8.01653695655839, 4.6222084937091195, 10.036157497725046, 10.036157497725046, 12.876683188387066, 8.01653695655839, 8.01653695655839, 8.01653695655839, 8.01653695655839, 4.6222084937091195, 4.6222084937091195, 8.01653695655839, 10.036157497725046, 8.01653695655839, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
3,5,200,[222.41889306726742],"836.7293193809581, 3078.516995113945, 3377.021500769915, 4209.661783459123, 9655.736403215658, 9864.341971859349",600,"[10.422819207140538, 8.912458890454747, 8.912458890454747, 10.422819207140538, 7.387932229113543, 8.912458890454747, 8.912458890454747, 4.6222084937091195, 8.912458890454747, 10.422819207140538, 12.876683188387066, 12.876683188387066, 7.387932229113543, 10.422819207140538, 12.876683188387066, 4.6222084937091195, 12.876683188387066, 8.912458890454747, 8.912458890454747, 7.387932229113543, 10.422819207140538, 10.422819207140538, 10.422819207140538, 8.912458890454747, 7.387932229113543, 8.912458890454747, 8.912458890454747, 4.6222084937091195, 8.912458890454747, 10.422819207140538, 12.876683188387066, 7.387932229113543, 7.387932229113543, 7.387932229113543, 8.912458890454747, 4.6222084937091195, 4.6222084937091195, 7.387932229113543, 10.422819207140538, 8.912458890454747, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
4,6,200,[222.41889306726742],"836.7293193809581, 3078.516995113945, 3377.021500769915, 4209.661783459123, 9655.736403215658, 9864.341971859349",600,"[10.422819207140538, 8.912458890454747, 8.912458890454747, 10.422819207140538, 7.387932229113543, 8.912458890454747, 8.912458890454747, 4.6222084937091195, 8.912458890454747, 10.422819207140538, 13.38810442232878, 12.109551337474496, 7.387932229113543, 10.422819207140538, 13.38810442232878, 4.6222084937091195, 12.109551337474496, 8.912458890454747, 8.912458890454747, 7.387932229113543, 10.422819207140538, 10.422819207140538, 10.422819207140538, 8.912458890454747, 7.387932229113543, 8.912458890454747, 8.912458890454747, 4.6222084937091195, 8.912458890454747, 10.422819207140538, 13.38810442232878, 7.387932229113543, 7.387932229113543, 7.387932229113543, 8.912458890454747, 4.6222084937091195, 4.6222084937091195, 7.387932229113543, 10.422819207140538, 8.912458890454747, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
5,7,200,[168.93989418116547],"628.5469799110042, 2636.5470679647906, 3358.3695569523247, 3392.7156688749565, 8036.635975746012, 8037.657111273477",600,"[9.884348220465732, 8.797276757568799, 8.797276757568799, 10.718240956825074, 7.387932229113543, 8.797276757568799, 9.884348220465732, 4.6222084937091195, 8.797276757568799, 10.718240956825074, 12.35975063269525, 12.35975063269525, 7.387932229113543, 9.884348220465732, 13.652082021924791, 4.6222084937091195, 12.35975063269525, 8.797276757568799, 8.797276757568799, 7.387932229113543, 10.718240956825074, 9.884348220465732, 10.718240956825074, 9.884348220465732, 7.387932229113543, 8.797276757568799, 8.797276757568799, 4.6222084937091195, 8.797276757568799, 9.884348220465732, 13.652082021924791, 7.387932229113543, 7.387932229113543, 7.387932229113543, 8.797276757568799, 4.6222084937091195, 4.6222084937091195, 7.387932229113543, 10.718240956825074, 8.797276757568799, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
6,8,200,[107.86237175236106],"498.360534261526, 1812.0990708255933, 2280.806393602391, 2758.841566081488, 6717.716919885494, 6792.032996417771",600,"[9.945508896667347, 8.797276757568799, 8.797276757568799, 9.945508896667347, 7.387932229113543, 8.797276757568799, 9.945508896667347, 5.001747094879536, 8.797276757568799, 10.819682957562083, 12.35975063269525, 12.35975063269525, 7.387932229113543, 9.945508896667347, 13.652082021924791, 5.001747094879536, 12.35975063269525, 8.797276757568799, 8.797276757568799, 7.387932229113543, 10.819682957562083, 9.945508896667347, 10.819682957562083, 9.945508896667347, 7.387932229113543, 8.797276757568799, 8.797276757568799, 4.0529005919534935, 8.797276757568799, 9.945508896667347, 13.652082021924791, 7.387932229113543, 7.387932229113543, 7.387932229113543, 8.797276757568799, 5.001747094879536, 4.0529005919534935, 7.387932229113543, 10.819682957562083, 8.797276757568799, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
7,9,200,[127.49762619716437],"583.7392393756243, 2140.0055557261526, 2401.1702624819122, 2982.8468547455136, 6895.8183858031725, 7031.58894774162",600,"[10.1053282068033, 8.645141684003237, 8.645141684003237, 10.1053282068033, 7.387932229113543, 8.645141684003237, 9.340166420777162, 5.190363482471691, 8.645141684003237, 10.819682957562083, 12.35975063269525, 12.35975063269525, 7.387932229113543, 10.1053282068033, 13.652082021924791, 4.243438501200739, 12.35975063269525, 9.340166420777162, 8.645141684003237, 7.387932229113543, 10.819682957562083, 10.1053282068033, 10.819682957562083, 9.340166420777162, 7.387932229113543, 9.340166420777162, 8.645141684003237, 4.243438501200739, 9.340166420777162, 10.1053282068033, 13.652082021924791, 7.387932229113543, 7.387932229113543, 7.387932229113543, 8.645141684003237, 5.190363482471691, 4.243438501200739, 7.387932229113543, 10.819682957562083, 8.645141684003237, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
8,10,200,[127.49762619716437],"583.7392393756243, 2140.0055557261526, 2401.1702624819122, 2982.8468547455136, 6895.8183858031725, 7031.58894774162",600,"[10.1053282068033, 8.645141684003237, 8.645141684003237, 10.1053282068033, 7.552880016662289, 8.645141684003237, 9.340166420777162, 5.190363482471691, 8.645141684003237, 10.819682957562083, 12.35975063269525, 12.35975063269525, 7.552880016662289, 10.1053282068033, 13.652082021924791, 4.243438501200739, 12.35975063269525, 9.340166420777162, 8.645141684003237, 7.552880016662289, 10.819682957562083, 10.1053282068033, 10.819682957562083, 9.340166420777162, 6.893088866467306, 9.340166420777162, 8.645141684003237, 4.243438501200739, 9.340166420777162, 10.1053282068033, 13.652082021924791, 7.552880016662289, 7.552880016662289, 6.893088866467306, 8.645141684003237, 5.190363482471691, 4.243438501200739, 7.552880016662289, 10.819682957562083, 8.645141684003237, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
9,15,200,[132.51636355343632],"603.622057813046, 2290.5409991862753, 2496.418212549005, 2987.3179316396463, 6816.0805685743335, 6948.195180096588",600,"[10.004316900168686, 8.430918279700325, 8.773675726584983, 10.342394519590856, 7.343258098168213, 8.430918279700325, 9.340166420777162, 5.190363482471691, 8.773675726584983, 10.921746201662073, 13.094130890157164, 12.109551337474496, 7.762501935156365, 10.004316900168686, 13.976051486672011, 4.485615274867101, 12.109551337474496, 9.340166420777162, 8.773675726584983, 7.762501935156365, 10.342394519590856, 10.004316900168686, 10.921746201662073, 9.340166420777162, 6.893088866467306, 9.340166420777162, 8.430918279700325, 4.485615274867101, 9.340166420777162, 10.342394519590856, 13.094130890157164, 7.343258098168213, 7.762501935156365, 6.893088866467306, 8.773675726584983, 5.190363482471691, 3.7590849538680153, 7.343258098168213, 10.921746201662073, 8.773675726584983, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
