,cluster,f1,fbest,freq,grad,sol
0,None,200,[5.282643763622793],"202.87361419773134, 811.1164250319607, 1446.0851760975593, 2005.78612271933, 2617.0469221649364, 3086.5847563699617",600,"[2.808656126220426, 4.660962727729024, 2.3636172988154587, 3.316311270665622, 3.35142768510695, 3.7902972491483853, 2.753118039543312, 3.7380126576190693, 3.0384099695119975, 2.4737431008208124, 4.02632647695612, 3.109547093312928, 4.273884023468331, 3.1076252209040285, 3.340720386258119, 3.0881891242502855, 3.765003347867056, 4.301153775556621, 5.198151425485613, 3.3132885646634826, 3.009273859474627, 3.0395426477073593, 4.062077538371861, 2.9023028398810142, 3.388319545288303, 4.202841833941897, 2.952292743243537, 2.824184734723291, 2.5446150537640775, 3.802644074279686, 2.6881394215499967, 2.7523547947460187, 3.441620350125819, 3.9708299567397765, 2.384567331151244, 3.196860742812609, 4.615062661055728, 2.961349099370517, 3.0662807596891217, 3.0234206578153193]"
1,3,200,[51.107041180649446],"157.2641795975865, 581.6210641391403, 1286.834888932276, 1341.8731643235685, 2334.0326085065894, 2798.5472291002757",600,"[8.533684487474305, 13.103763473101656, 8.533684487474305, 10.484865238318664, 10.484865238318664, 10.484865238318664, 8.533684487474305, 10.484865238318664, 8.533684487474305, 8.533684487474305, 13.103763473101656, 8.533684487474305, 13.103763473101656, 8.533684487474305, 10.484865238318664, 8.533684487474305, 10.484865238318664, 13.103763473101656, 13.103763473101656, 10.484865238318664, 8.533684487474305, 8.533684487474305, 13.103763473101656, 8.533684487474305, 10.484865238318664, 13.103763473101656, 8.533684487474305, 8.533684487474305, 8.533684487474305, 10.484865238318664, 8.533684487474305, 8.533684487474305, 10.484865238318664, 13.103763473101656, 8.533684487474305, 10.484865238318664, 13.103763473101656, 8.533684487474305, 8.533684487474305, 8.533684487474305]"
2,4,200,[23.481659126173682],"188.53003087814878, 797.6860990044265, 1476.9311171557172, 2405.6194624804566, 2717.5295243628875, 3440.4627527814246",600,"[7.864331967111546, 14.474176814270365, 7.864331967111546, 9.441130426680273, 9.441130426680273, 11.97992128018464, 7.864331967111546, 11.97992128018464, 9.441130426680273, 7.864331967111546, 11.97992128018464, 9.441130426680273, 11.97992128018464, 9.441130426680273, 9.441130426680273, 9.441130426680273, 11.97992128018464, 11.97992128018464, 14.474176814270365, 9.441130426680273, 9.441130426680273, 9.441130426680273, 11.97992128018464, 9.441130426680273, 9.441130426680273, 11.97992128018464, 9.441130426680273, 7.864331967111546, 7.864331967111546, 11.97992128018464, 7.864331967111546, 7.864331967111546, 9.441130426680273, 11.97992128018464, 7.864331967111546, 9.441130426680273, 14.474176814270365, 9.441130426680273, 9.441130426680273, 9.441130426680273]"
3,5,200,[19.480904117691118],"197.1769812753775, 708.5119748310722, 1325.8232474007114, 2184.0883348332595, 2845.6209516273498, 2986.0724902096463",600,"[8.887309542078757, 14.474176814270365, 7.472809323660953, 10.006520804966103, 10.006520804966103, 11.97992128018464, 8.887309542078757, 11.97992128018464, 8.887309542078757, 7.472809323660953, 11.97992128018464, 8.887309542078757, 11.97992128018464, 8.887309542078757, 10.006520804966103, 8.887309542078757, 11.97992128018464, 11.97992128018464, 14.474176814270365, 10.006520804966103, 8.887309542078757, 8.887309542078757, 11.97992128018464, 8.887309542078757, 10.006520804966103, 11.97992128018464, 8.887309542078757, 8.887309542078757, 7.472809323660953, 11.97992128018464, 7.472809323660953, 8.887309542078757, 10.006520804966103, 11.97992128018464, 7.472809323660953, 10.006520804966103, 14.474176814270365, 8.887309542078757, 8.887309542078757, 8.887309542078757]"
4,6,200,[21.128549388986375],"186.3944255850538, 699.8488228523175, 1284.9239072259381, 1950.164426043858, 2715.106362741477, 2808.0263687071797",600,"[8.887309542078757, 13.232343013050961, 7.472809323660953, 10.006520804966103, 10.006520804966103, 11.637939128992267, 8.887309542078757, 11.637939128992267, 8.887309542078757, 7.472809323660953, 11.637939128992267, 8.887309542078757, 13.232343013050961, 8.887309542078757, 10.006520804966103, 8.887309542078757, 11.637939128992267, 13.232343013050961, 15.59445427645684, 10.006520804966103, 8.887309542078757, 8.887309542078757, 11.637939128992267, 8.887309542078757, 10.006520804966103, 13.232343013050961, 8.887309542078757, 8.887309542078757, 7.472809323660953, 11.637939128992267, 7.472809323660953, 8.887309542078757, 10.006520804966103, 11.637939128992267, 7.472809323660953, 10.006520804966103, 13.232343013050961, 8.887309542078757, 8.887309542078757, 8.887309542078757]"
5,7,200,[20.255335910420047],"198.61803598336482, 811.6437102278857, 1447.7236135801793, 2051.724515031458, 3112.0351124604194, 3160.3671604267115",600,"[8.36437797833203, 13.232343013050961, 7.324907088413695, 10.006520804966103, 10.006520804966103, 11.637939128992267, 8.36437797833203, 11.637939128992267, 9.118779352583918, 7.324907088413695, 11.637939128992267, 9.118779352583918, 13.232343013050961, 9.118779352583918, 10.006520804966103, 9.118779352583918, 11.637939128992267, 13.232343013050961, 15.59445427645684, 10.006520804966103, 9.118779352583918, 9.118779352583918, 11.637939128992267, 8.36437797833203, 10.006520804966103, 13.232343013050961, 9.118779352583918, 8.36437797833203, 7.324907088413695, 11.637939128992267, 8.36437797833203, 8.36437797833203, 10.006520804966103, 11.637939128992267, 7.324907088413695, 10.006520804966103, 13.232343013050961, 9.118779352583918, 9.118779352583918, 9.118779352583918]"
6,8,200,[20.473003854961327],"202.58054921322872, 814.3037887540621, 1481.2495062130688, 2156.6375702379246, 3063.0732273597723, 3154.1980163938197",600,"[8.36437797833203, 13.914038083177129, 7.324907088413695, 10.006520804966103, 10.006520804966103, 11.440072371392382, 8.36437797833203, 11.440072371392382, 9.118779352583918, 7.324907088413695, 12.5197701889769, 9.118779352583918, 12.5197701889769, 9.118779352583918, 10.006520804966103, 9.118779352583918, 11.440072371392382, 12.5197701889769, 15.59445427645684, 10.006520804966103, 9.118779352583918, 9.118779352583918, 12.5197701889769, 8.36437797833203, 10.006520804966103, 12.5197701889769, 9.118779352583918, 8.36437797833203, 7.324907088413695, 11.440072371392382, 8.36437797833203, 8.36437797833203, 10.006520804966103, 11.440072371392382, 7.324907088413695, 10.006520804966103, 13.914038083177129, 9.118779352583918, 9.118779352583918, 9.118779352583918]"
7,9,200,[17.38349624234908],"194.5739967785988, 807.8810574987376, 1436.4718048419497, 1991.6929630238476, 3036.6600483144202, 3129.6240312044833",600,"[8.36437797833203, 13.914038083177129, 7.324907088413695, 10.006520804966103, 10.006520804966103, 11.321967996685647, 8.36437797833203, 11.321967996685647, 9.118779352583918, 7.324907088413695, 12.059233972067759, 9.118779352583918, 12.777879632966847, 9.118779352583918, 10.006520804966103, 9.118779352583918, 11.321967996685647, 12.777879632966847, 15.59445427645684, 10.006520804966103, 9.118779352583918, 9.118779352583918, 12.059233972067759, 8.36437797833203, 10.006520804966103, 12.777879632966847, 9.118779352583918, 8.36437797833203, 7.324907088413695, 11.321967996685647, 8.36437797833203, 8.36437797833203, 10.006520804966103, 12.059233972067759, 7.324907088413695, 10.006520804966103, 13.914038083177129, 9.118779352583918, 9.118779352583918, 9.118779352583918]"
8,10,200,[10.14298572254195],"205.87047169905134, 785.1219972262012, 1502.4426413207148, 2015.631850222475, 2757.376269085141, 3196.2616124431",600,"[8.295871870069826, 13.914038083177129, 7.324907088413695, 10.075843901054148, 10.075843901054148, 11.321967996685647, 8.295871870069826, 11.321967996685647, 8.96853935014473, 7.324907088413695, 12.059233972067759, 9.341101764581385, 12.777879632966847, 9.341101764581385, 10.075843901054148, 9.341101764581385, 11.321967996685647, 12.777879632966847, 15.59445427645684, 10.075843901054148, 8.96853935014473, 8.96853935014473, 12.059233972067759, 8.96853935014473, 10.075843901054148, 12.777879632966847, 8.96853935014473, 8.295871870069826, 7.324907088413695, 11.321967996685647, 8.295871870069826, 8.295871870069826, 10.075843901054148, 12.059233972067759, 7.324907088413695, 9.341101764581385, 13.914038083177129, 8.96853935014473, 9.341101764581385, 8.96853935014473]"
9,15,200,[5.852491701039317],"197.692478872637, 804.8994345193772, 1426.7744001560102, 1943.1058773452303, 2643.3221304787394, 3064.1629627306447",600,"[8.449261291415576, 13.914038083177129, 7.1222769449500545, 9.991310930020632, 9.991310930020632, 11.321967996685647, 8.193612255839327, 11.321967996685647, 9.082985350881977, 7.527537231877335, 12.059233972067759, 9.278731648617272, 12.777879632966847, 9.278731648617272, 9.991310930020632, 9.278731648617272, 11.321967996685647, 12.777879632966847, 15.59445427645684, 9.991310930020632, 9.082985350881977, 9.082985350881977, 12.059233972067759, 8.815944682495068, 10.244909843121183, 12.777879632966847, 8.815944682495068, 8.449261291415576, 7.527537231877335, 11.321967996685647, 8.193612255839327, 8.193612255839327, 10.244909843121183, 12.059233972067759, 7.1222769449500545, 9.590582228437826, 13.914038083177129, 8.815944682495068, 9.278731648617272, 9.082985350881977]"
