,cluster,f1,fbest,freq,grad,sol
0,0,50,[15.62808443],"48.57689931423127, 239.1298120838484, 489.71557022670453, 661.2312336229409, 766.6098932645344, 1116.494329771031",200,"[1.9200961438763418, 4.073631235716507, 2.873720115240268, 4.537701432493195, 3.1078597472582334, 2.6264549680011258, 3.7417357258881037, 4.152348969474537, 2.7050323142279993, 2.1900024389269994, 2.2469851961576865, 2.8449270098477086, 2.9838822519715524, 3.5352427188964923, 2.578488276079086, 2.9951245850048385, 3.344864630819298, 2.891001128751976, 3.0660808227570215, 2.2652332673288664, 2.8268480432134924, 3.820018899538329, 2.9602411429650552, 3.7176624267956524, 2.40225684800788, 3.368540960951501, 3.804893051175427, 3.832468251341683, 2.739715243561392, 3.4511037083826737, 2.7428616041214133, 3.128530866499052, 3.238248440043127, 4.016409077916271, 3.0324984590935067, 4.107326361409317, 3.183767871603757, 2.3704951530956504, 3.7126533432873816, 2.515278534761199]"
1,10,50,[24.382653959343486],"43.64075264249105, 204.5463638130099, 452.024051085786, 649.8035350752433, 766.6941456410142, 1075.5728264031186",200,"[5.760288431629025, 12.262286733387473, 8.459536572368124, 13.613104297479586, 9.493805194053127, 7.818940569802057, 11.31471584901329, 12.262286733387473, 7.818940569802057, 6.884983742110249, 6.884983742110249, 8.459536572368124, 9.022696357075183, 10.274814014287474, 7.818940569802057, 9.022696357075183, 10.274814014287474, 8.459536572368124, 9.022696357075183, 6.884983742110249, 8.459536572368124, 11.31471584901329, 9.022696357075183, 11.31471584901329, 6.884983742110249, 10.274814014287474, 11.31471584901329, 11.31471584901329, 8.459536572368124, 10.274814014287474, 8.459536572368124, 9.493805194053127, 9.493805194053127, 12.262286733387473, 9.022696357075183, 12.262286733387473, 9.493805194053127, 6.884983742110249, 11.31471584901329, 7.818940569802057]"
2,11,50,[19.43758528983709],"51.2723275018659, 252.10188200188145, 515.5062756891308, 689.6433633343478, 766.7402327293092, 1103.1138063494004",200,"[5.760288431629025, 12.262286733387473, 8.41033091098468, 13.613104297479586, 9.493805194053127, 7.72022177884141, 11.31471584901329, 12.262286733387473, 8.41033091098468, 6.702220902413552, 6.702220902413552, 8.41033091098468, 9.022696357075183, 10.274814014287474, 7.72022177884141, 9.022696357075183, 10.274814014287474, 8.41033091098468, 9.022696357075183, 6.702220902413552, 8.41033091098468, 11.31471584901329, 9.022696357075183, 11.31471584901329, 7.159128001655295, 10.274814014287474, 11.31471584901329, 11.31471584901329, 8.41033091098468, 10.274814014287474, 8.41033091098468, 9.493805194053127, 9.493805194053127, 12.262286733387473, 9.022696357075183, 12.262286733387473, 9.493805194053127, 7.159128001655295, 11.31471584901329, 7.72022177884141]"
3,12,50,[18.45455350515659],"51.32846848239933, 248.46936152562, 508.54400191618225, 686.4020761093133, 766.7171069380938, 1113.4515535241287",200,"[5.760288431629025, 12.262286733387473, 8.577372222790084, 13.613104297479586, 9.493805194053127, 7.72022177884141, 11.31471584901329, 12.262286733387473, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 9.022696357075183, 10.274814014287474, 7.72022177884141, 9.022696357075183, 10.274814014287474, 8.577372222790084, 9.022696357075183, 6.702220902413552, 8.577372222790084, 11.31471584901329, 9.022696357075183, 11.31471584901329, 7.159128001655295, 10.274814014287474, 11.31471584901329, 11.31471584901329, 8.187609161910805, 10.274814014287474, 8.187609161910805, 9.493805194053127, 9.493805194053127, 12.262286733387473, 9.022696357075183, 12.262286733387473, 9.493805194053127, 7.159128001655295, 11.31471584901329, 7.72022177884141]"
4,13,50,[18.43552600559787],"50.958370750155396, 249.4408365678278, 504.4114562366152, 673.2427166859915, 766.6247620037983, 1144.466142540991",200,"[5.760288431629025, 12.262286733387473, 8.577372222790084, 13.613104297479586, 9.364679481088547, 7.72022177884141, 11.31471584901329, 12.262286733387473, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.978809829276214, 10.479519640918749, 7.72022177884141, 8.978809829276214, 9.951654031813927, 8.577372222790084, 9.364679481088547, 6.702220902413552, 8.577372222790084, 11.31471584901329, 8.978809829276214, 11.31471584901329, 7.159128001655295, 9.951654031813927, 11.31471584901329, 11.31471584901329, 8.187609161910805, 10.479519640918749, 8.187609161910805, 9.364679481088547, 9.951654031813927, 12.262286733387473, 8.978809829276214, 12.262286733387473, 9.364679481088547, 7.159128001655295, 11.31471584901329, 7.72022177884141]"
5,14,50,[18.52089303357794],"50.963142477596264, 249.46048539232655, 504.76034738863933, 674.1516709005555, 766.6252576234738, 1144.5957230340193",200,"[5.760288431629025, 12.262286733387473, 8.577372222790084, 13.613104297479586, 9.364679481088547, 7.72022177884141, 11.172051495971138, 12.262286733387473, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.978809829276214, 10.479519640918749, 7.72022177884141, 8.978809829276214, 9.951654031813927, 8.577372222790084, 9.364679481088547, 6.702220902413552, 8.577372222790084, 11.45738020205544, 8.978809829276214, 11.172051495971138, 7.159128001655295, 9.951654031813927, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.479519640918749, 8.187609161910805, 9.364679481088547, 9.951654031813927, 12.262286733387473, 8.978809829276214, 12.262286733387473, 9.364679481088547, 7.159128001655295, 11.172051495971138, 7.72022177884141]"
6,15,50,[17.5058735648184],"50.914036942177695, 247.767700415858, 499.1086581366421, 674.801380864412, 766.5799897045725, 1139.309523460551",200,"[5.760288431629025, 12.262286733387473, 8.577372222790084, 13.613104297479586, 9.302471436514306, 7.72022177884141, 11.172051495971138, 12.262286733387473, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.978809829276214, 10.479519640918749, 7.72022177884141, 8.978809829276214, 10.070108387656198, 8.577372222790084, 9.302471436514306, 6.702220902413552, 8.577372222790084, 11.45738020205544, 8.978809829276214, 11.172051495971138, 7.159128001655295, 10.070108387656198, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.479519640918749, 8.187609161910805, 9.302471436514306, 9.633024467470324, 12.262286733387473, 8.978809829276214, 12.262286733387473, 9.633024467470324, 7.159128001655295, 11.172051495971138, 7.72022177884141]"
7,16,50,[17.50959849381662],"50.91483295363297, 247.7750611582479, 499.1217009899064, 674.8192108984689, 766.5808157854317, 1139.338870674178",200,"[5.760288431629025, 12.33330656660036, 8.577372222790084, 13.613104297479586, 9.302471436514306, 7.72022177884141, 11.172051495971138, 12.33330656660036, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.978809829276214, 10.479519640918749, 7.72022177884141, 8.978809829276214, 10.070108387656198, 8.577372222790084, 9.302471436514306, 6.702220902413552, 8.577372222790084, 11.45738020205544, 8.978809829276214, 11.172051495971138, 7.159128001655295, 10.070108387656198, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.479519640918749, 8.187609161910805, 9.302471436514306, 9.633024467470324, 12.049227233748812, 8.978809829276214, 12.33330656660036, 9.633024467470324, 7.159128001655295, 11.172051495971138, 7.72022177884141]"
8,17,50,[20.393163985958907],"51.08263790803223, 250.3716687100349, 506.87638690641666, 686.0237160776649, 766.5927112511009, 1167.1203216803833",200,"[5.760288431629025, 12.135060470449169, 8.577372222790084, 13.613104297479586, 9.302471436514306, 7.807414866120318, 11.172051495971138, 12.389512996325783, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.978809829276214, 10.479519640918749, 7.807414866120318, 8.978809829276214, 10.070108387656198, 8.577372222790084, 9.302471436514306, 6.702220902413552, 8.577372222790084, 11.45738020205544, 8.978809829276214, 11.172051495971138, 7.159128001655295, 10.070108387656198, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.479519640918749, 8.187609161910805, 9.302471436514306, 9.633024467470324, 12.135060470449169, 8.978809829276214, 12.389512996325783, 9.633024467470324, 7.159128001655295, 11.172051495971138, 7.545835604283596]"
9,18,50,[20.48009707979383],"51.10690493086798, 250.42821678771645, 507.4732167076075, 685.6564150034235, 766.592546037564, 1167.3958118361104",200,"[5.760288431629025, 12.135060470449169, 8.577372222790084, 13.613104297479586, 9.302471436514306, 7.807414866120318, 11.172051495971138, 12.389512996325783, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.978809829276214, 10.605728156689477, 7.807414866120318, 8.978809829276214, 10.070108387656198, 8.577372222790084, 9.302471436514306, 6.702220902413552, 8.577372222790084, 11.45738020205544, 8.978809829276214, 11.172051495971138, 7.159128001655295, 10.070108387656198, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.353311125148021, 8.187609161910805, 9.302471436514306, 9.633024467470324, 12.135060470449169, 8.978809829276214, 12.389512996325783, 9.633024467470324, 7.159128001655295, 11.172051495971138, 7.545835604283596]"
10,19,50,[18.295293944389186],"50.819646226333894, 247.82203185737, 503.75418275357464, 674.6010890586756, 766.6279009229988, 1142.7624156839304",200,"[5.760288431629025, 12.135060470449169, 8.577372222790084, 13.613104297479586, 9.354585920635927, 7.807414866120318, 11.172051495971138, 12.389512996325783, 8.187609161910805, 6.702220902413552, 6.702220902413552, 8.577372222790084, 8.939247979941447, 10.605728156689477, 7.807414866120318, 8.939247979941447, 10.070108387656198, 8.577372222790084, 9.147868922775793, 6.702220902413552, 8.577372222790084, 11.45738020205544, 8.939247979941447, 11.172051495971138, 7.159128001655295, 10.070108387656198, 11.45738020205544, 11.45738020205544, 8.187609161910805, 10.353311125148021, 8.187609161910805, 9.354585920635927, 9.633024467470324, 12.135060470449169, 9.147868922775793, 12.389512996325783, 9.633024467470324, 7.159128001655295, 11.172051495971138, 7.545835604283596]"
