,errorLimit,f1,fbest,freq,grad,sol,time
0,0.1,200,[3.6276691],"203.96250852259624, 819.345661305694, 1447.7022675245178, 1963.7707867084137, 2460.686231873626, 2982.73390918365",600,"[3.560551415453462, 6.325937694883191, 4.887898717619578, 2.42017396209371, 3.1124123444870917, 4.091313207363654, 2.56305171494941, 3.2077446053977345, 2.5787268067113884, 4.658671018344008, 3.294368774511235, 2.8273804353022602, 3.106940214563893, 3.0883272278970506, 3.1054233359147116, 4.444864651628823, 3.3206240907864437, 2.971826695488389, 3.8596672578300644, 4.074425450707109, 5.587260210287495, 3.285988407980844, 3.3786296514972274, 4.526632554063126, 4.473358523247882, 3.418419654122937, 2.4220163220781745, 4.143107775547106, 6.221338031916412, 3.060165257607517, 4.093868935461912, 2.3439260238558983, 2.2623706587380945, 3.3083153454032206, 2.310020942092674, 3.6885931912603276, 4.781425432250762, 4.245564432859381, 4.393583600617851, 3.7543994744841895]",3607.945279598236
1,0.1,200,[4.16862984],"197.87984396760172, 853.934126624954, 1383.4562081008355, 2054.8746111874093, 2426.3556039395107, 2988.6120129647607",600,"[2.9008830758120117, 3.6426948436559146, 4.1609860004124855, 3.4753268372712136, 3.092477352988644, 3.913757080652677, 3.496495443346465, 3.2997579278692113, 2.9095051950645328, 2.9910981736559217, 2.5906209246141696, 5.200954163078592, 3.6836969084722164, 3.544291333938798, 3.077575404584347, 4.5525039480653735, 4.668980291422013, 2.744386573904679, 3.308615509917016, 3.109204544143971, 2.8658090655445014, 5.323526276096374, 5.027180256199653, 3.387215188164213, 4.808926478229174, 4.302698145610853, 3.6233298326772063, 3.010496402126592, 3.599458699468735, 4.092231012627089, 2.1091485514939436, 2.6848344195216094, 2.39739155604279, 3.47309468544655, 3.647621570051257, 3.536240638782707, 3.3627339115835126, 2.650078273885099, 3.676421801356356, 3.883820647304473]",3612.994933128357
2,0.1,200,[2.60917742],"203.22054631238598, 778.4046826266228, 1388.3205284227513, 1973.7009772245035, 2434.141528107822, 3109.855822025452",600,"[4.0159146551788645, 2.3506600285993327, 4.602336247421072, 3.7322680852618997, 2.937727484126001, 2.915418799539699, 3.2168809849389453, 3.8483424996293625, 2.5769690605266358, 3.809180195602509, 2.9714918695516617, 3.4500004165783564, 2.997103360580999, 3.1700350708344502, 4.200796581205418, 3.1389882101993356, 2.81763875687257, 2.7886132305484415, 4.192908459722637, 2.6882607200626043, 3.0802386103345234, 3.9304293273967117, 3.0414800443676375, 4.666787878499305, 4.664839964327614, 2.8724936535072723, 3.6816706371341095, 2.3974947853693336, 2.913411064058648, 2.9119171742537997, 4.076653484658171, 4.7764304490001575, 4.1868862421475255, 3.6847602436301785, 3.0872623228887277, 2.8797865178481636, 4.000925731218395, 4.263329921870672, 3.255231533942594, 2.472712756848155]",3611.5435564517975
3,0.1,200,[4.66798527],"205.7145209939067, 801.9114635685919, 1605.5105435600494, 2143.975405459019, 2671.8166587095075, 3191.313786666822",600,"[3.5486641906459204, 2.3226943473046253, 3.0978269873962985, 3.674811561876526, 4.007026552091237, 3.0660677528058695, 2.7834867794927396, 3.1135757852317387, 5.480176167666312, 3.914097360412613, 2.8382211783815885, 3.8191802438432387, 3.8476361896077607, 3.3483071659036154, 2.303212378819123, 2.7071865755554407, 3.7554179522994, 3.962035104900942, 4.234378566391892, 3.616096358297193, 2.6276421157890946, 3.7666673061828453, 4.064533463882026, 3.3458019795809806, 2.738381372775018, 2.7895772806389085, 4.000500880865584, 3.763352066222653, 3.156161069013608, 3.616815942381553, 3.4549497812953947, 2.3728270837153005, 3.6282836077953076, 3.738531170044638, 4.2084977468612355, 3.3155784627374962, 2.9404284764385147, 3.7322619619874224, 3.582241810927283, 2.8649086355031868]",3635.5677485466003
4,0.1,200,[3.76610808],"185.77745492053847, 835.8413956382417, 1392.47360170832, 1993.240139316723, 2403.1326566724056, 3118.1507937069427",600,"[3.9410195917461097, 2.3298642416519475, 3.016399468062789, 3.406241437584866, 3.054539986428831, 3.651460528997618, 4.012221915734724, 3.393605544093584, 3.583263940831505, 2.191467169230053, 3.1968039593690016, 3.9359071736831264, 3.767079596417075, 3.4800593919539775, 3.18061123850872, 3.0013091432389243, 4.326131097556091, 3.33601214362808, 2.792917719448772, 2.9185278344568117, 2.8008194657321814, 4.519750508113257, 4.633576575178235, 3.229941285288564, 4.346164702078708, 2.8036679436739567, 2.8461995060544347, 2.706802719027945, 3.4037124280790376, 4.012355299611539, 4.075938003056713, 3.783132152897127, 3.579643913444656, 3.759892183396774, 3.1833851089000755, 4.94225884811867, 2.613586378628509, 2.650173916253596, 4.114942772953784, 2.9791619126823905]",3609.2292807102203
5,0.1,200,[4.72766603],"203.9182296457232, 842.4093839879359, 1411.2784024353898, 1941.101212613774, 2312.9035700961394, 2997.9840509047444",600,"[2.5670353193545763, 2.3972005342005853, 5.254472059062504, 3.014430608390296, 3.487795715231507, 2.884991840185995, 4.8826914937195705, 3.3713249739642266, 2.95630703048677, 2.670465395566961, 3.498184332729784, 3.9856364540177815, 5.594086246362968, 2.8625892078485067, 5.304293567093143, 5.257603010022099, 2.6274557319069927, 2.8814968110751082, 4.562229422367093, 3.278956969883626, 4.155178770443187, 3.272419632023722, 2.3833974250806778, 3.0293961321179474, 3.1300833342781935, 4.194700856207292, 3.277348657920846, 5.579457077523443, 4.566367502748704, 3.2534681053994876, 2.8292698030513206, 4.209214587941473, 3.5997488131723316, 3.039173449431354, 4.315859868360967, 3.0425639422956845, 4.0785670704479315, 6.472750543901259, 3.8235863057935537, 3.89437578983502]",3623.0896170139313
6,0.1,200,[5.12650761],"211.10689857293218, 802.7583483080845, 1362.9290027540785, 1818.6264232494043, 2574.603623017959, 3589.3571811569686",600,"[6.202287751723074, 3.8413782654088062, 3.137835158923117, 3.2231176298517017, 6.567440823207384, 2.5302983264405707, 3.4086932062705197, 4.060797658840789, 2.3608237855403873, 2.97606185739761, 4.9074490648755384, 4.258314454751315, 5.406879338112349, 4.337012324530587, 4.349026133210544, 3.6505149379234245, 2.8968417948847947, 3.077148620089047, 2.312693157572602, 4.761445486822843, 4.477602407525847, 2.940364769418193, 4.506883846717224, 3.2590092140544353, 2.8943401333256418, 4.839223647399587, 3.2594314211458197, 2.881705724859482, 3.4932713213062576, 3.2878402824333173, 2.8605995695205237, 3.1488570974874586, 3.3079726155280555, 3.400242256777595, 3.9114892579683906, 4.299704473930374, 5.077082668209946, 5.175971467589527, 4.35404179282948, 2.7307406920948445]",3606.0770761966705
7,0.1,200,[3.36787337],"210.7847850000611, 801.7473502470775, 1442.2087548041272, 1993.8081104854987, 2722.64942825316, 2990.251592852125",600,"[2.955249480744454, 3.1708205941283882, 4.027041875116062, 2.770369633067733, 2.624894539184011, 3.9902378791895803, 4.066642028366916, 3.3327054156990403, 3.4895203226822993, 3.568332994519984, 3.4061484273750713, 3.1359753900744147, 2.6541632201980745, 3.245850484242108, 3.5772026531865166, 2.943662352181031, 5.414040279267998, 3.301919710139034, 2.432170622637053, 4.655831705838234, 3.048980055945184, 2.128688534642259, 3.695086086134151, 4.653018231424073, 2.7667947652150184, 2.7347563697700226, 3.363593741579426, 4.344722911834685, 4.459841710524988, 2.8775662421323003, 2.167210414911564, 3.9276847373421524, 4.642730305841181, 3.085205197114481, 3.7567733513786745, 2.9457764930330184, 3.479529910806291, 3.6595722376597215, 2.7480832673072144, 3.118856464790481]",3633.8847370147705
8,0.1,200,[1.93206492],"205.54785420193136, 837.8758800333994, 1418.0834038959697, 1988.3147481949065, 2614.260801937331, 3253.105624003138",600,"[3.3766664178062036, 3.4775874363337156, 5.6727445692481195, 5.0062198284942045, 3.086688397143903, 2.2815697235604087, 5.368497517544438, 2.5399126977341164, 2.987558429969967, 4.740227244590067, 4.899781293073918, 3.170047368210167, 3.577520283362289, 4.2859878892172985, 4.329982364170441, 3.727346041148752, 2.719365431564252, 3.14149551581232, 3.281005571996223, 2.9410158561999813, 2.35269414311344, 2.380316890021559, 4.573819012003211, 3.7917238999284253, 3.520370889902339, 4.610462838426143, 6.2197125851228865, 4.0744893132407345, 3.4715320664533813, 3.189599311686037, 3.182747223093421, 3.5396108021191686, 2.602328287450215, 5.181131334758422, 3.5533212842710156, 3.143307072598199, 5.146472707157276, 3.1327442760329296, 4.776581834535557, 3.3858460735861664]",3619.9283740520477
9,0.1,200,[3.21105281],"198.7619045384688, 808.7924742345205, 1329.0956780994131, 1876.445553478479, 2578.349375306044, 3375.1416570836686",600,"[4.223389552528973, 3.26324291163178, 4.244534857027079, 2.7403804580163955, 5.582786295808345, 3.5556287555814894, 4.897455639060123, 4.526338714251604, 3.8880988885194645, 3.1179528961662903, 3.357169007484799, 3.0173899815743934, 2.9774735035889863, 2.422909417648136, 3.905425516867753, 2.6327365651234067, 3.3234077154467716, 2.744066212035003, 4.7159045089908815, 2.5666477940841914, 2.6271885509889232, 4.580398506405208, 2.4495736783909265, 3.6249980377277025, 5.257179977640982, 3.549637139738836, 3.6746023274839836, 3.9406636185478066, 4.102317823639119, 2.8195457811253255, 5.801838275378808, 2.169591059503133, 2.6093777308480757, 3.2762058930242324, 4.570907044763991, 3.9769587630498804, 2.8277723524136342, 3.3197995907451503, 4.642295560029441, 3.7240093829327763]",3622.3892941474915
